productcode,productname,relatedcategoryid,categoryname,subcategoryname,subsubcategoryname,productdescription,fob,furtherdescription,defaultimagename,Size,Colors,Imprint,Imprint Method 1,Imprint Method 2,Weight,Lead Time,Rush Lead Time,Imprint Area,Packaging,Run Charge,Setup Charge,Set-up Charge,Additional Colors/Positions,Additional Colors,Additional Positions,Carton Weight (Lbs),Carton Width,Carton Height,Carton Length,Units Per Carton,pricename_1,quantity1_1,price1_1,discountcode1_1,quantity2_1,price2_1,discountcode2_1,quantity3_1,price3_1,discountcode3_1,quantity4_1,price4_1,discountcode4_1,quantity5_1,price5_1,discountcode5_1,quantity6_1,price6_1,discountcode6_1
HWSW,"3/4"" Sublimated Heavy Weight Satin Wristband",81,Wristbands,Wristbands,Breakaway,Full color wristband.,56301 | Saint Cloud | MN,,HWSW.jpg,"3/4"" H x 8"" W",any PMS color,Price includes full color imprint.,Four Color Process,,4 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"Background: 8"" x 3/4""; Text and Logos: 6"" x 1/2""",,,,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,4,10,13,5,100,HWSW,100,1.76,C,250,1.65,C,500,1.52,C,1000,1.46,C,,,,,,
NYEW,Nylon Elastic Wristband,81,Wristbands,Wristbands,Breakaway,Screen printed. Step and repeat available. One color imprint only.,56301 | Saint Cloud | MN,,NYEW.jpg,"8"" x 5/8""","White, Black, Charcoal (PMS 432), Light Gray (PMS 422), Dark Purple (PMS 273), Navy (PMS 533), Royal Blue (PMS 287), Neon Blue (PMS 314), Kelly Green (PMS 3425), Neon Green (PMS 802C), Tropical Yellow (PMS 116C), Gold (PMS 136C), Neon Orange (PMS 811C), Neon Pink (PMS 1915C), Red (PMS 187C)","Price includes one color, one location imprint.",Silkscreen,,3 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"6"" x 3/8""",,,,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,3,10,12,5,100,NYEW,500,1.46,C,1000,1.4,C,,,,,,,,,,,,
REW,Reflective Wristband,81,Wristbands,Wristbands,Breakaway,Great Safety Feature: The reflective material uses a technology that helps the eye perceive light during night time and low-light conditions. Screen printed. Step and repeat available. One color imprint only.,56301 | Saint Cloud | MN,,REW.jpg,"8"" x 5/8""","White, Black, Royal Blue (PMS 2945), Navy (PMS 289), Red (PMS 187)","Price includes one color, one location imprint.",Silkscreen,,2 lbs. per 100 units,7 to 10 working days after paper proof approval. Production time is affected by the Chinese New Year.,,"6"" x 1/4""",,,,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,2,10,12,5,100,REW,500,1.51,C,1000,1.45,C,,,,,,,,,,,,
SRECW,Sublimated Recycled Wristband,81,Wristbands,Wristbands,Breakaway,100% post consumer recycled fabric. Full color dye sublimation imprint.,56301 | Saint Cloud | MN,,SRECW.jpg,"8"" x 3/4""",any PMS color,Price includes full color imprint.,Four Color Process,,3 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"Background: 8"" x 5/8""; Text and Logos: 6"" x 3/4""",,,,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,3,10,13,5,100,SRECW,100,1.66,C,250,1.55,C,500,1.42,C,1000,1.36,C,,,,,,
68413AF,"Bumpkins Moose (7"" H)",15,Animal Fair Toys,Animal Fair Toys,Bumpkins,The Bumpkins Moose offers a charming personality and endless poses with its knobby knees and long legs. This Bumpkin stands on its own and without wires in its legs.,48867 | Owosso | MI,,68413AF.jpg,"13"" H",Brown,"Standard with Ribbon four color process; or Bandana one color, one location. Optional accessories include Custom Cardstock Tag four color process.",Silkscreen,Four Color Process,40 lbs. per 48 units,"3 working days without paper proof, 5 working days with paper proof for Bandana or Custom Tag. 5 working days without paper proof, 7 working days with paper proof for Ribbon.",,,,"Add $.31(G) per color/location, if accepted for screened imprint. Add $.31(G) for 2nd side of Custom Cardstock Tags.",,For Screened Bandana Setup: $50.00 (G) per color/position. For Full Color Ribbon or Custom Cardstock Tag Setup: $50.00 (G) per position. Repeat Order: First set-up FREE. Additional set-ups are $20.00 (G).,,,,40,18,18,18,48,Standard Accessory,48,16.1,C,96,15.25,C,252,14.5,C,504,14,C,,,,,,
SB-801,Golfer Business Card Award,130,Professional Gallery,Professional Gallery,Business Card Shadow Box,"Highly unique three-dimensional sculptures are handcrafted from an indivudual's business cards. Perfect for sales recognition awards, executive gifts, athletic awards, and also for birthdays, anniversaries or appreciation gifts. Includes your business cards, 4 line (3"" W x 1"" H) personalized plate, double acid free matting and shadow box wood frame with Rosewood finish. Please provide 20 business cards per unit.",56301 | Saint Cloud | MN,,SB-801.jpg,"7-1/2"" W x 11-1/2"" H",Rosewood,"Price includes 4 line (3"" W x 1"" H) personalized plate.",Silkscreen,,,7 working days.,,,,,,No set-up charge.,,,,,,,,,SB-801,1,126,C,5,110,C,25,100,C,100,92,C,,,,,,
SB-802,Eagle Business Card Award,130,Professional Gallery,Professional Gallery,Business Card Shadow Box,"Highly unique three-dimensional sculptures are handcrafted from an indivudual's business cards. Perfect for sales recognition awards, executive gifts, athletic awards, and also for birthdays, anniversaries or appreciation gifts. Includes your business cards, 4 line (3"" W x 1"" H) personalized plate, double acid free matting and shadow box wood frame with Black finish. Please provide 20 business cards per unit.",56301 | Saint Cloud | MN,,SB-802.jpg,"7-1/2"" W x 11-1/2"" H",Black,"Price includes 4 line (3"" W x 1"" H) personalized plate.",Silkscreen,,,7 working days.,,,,,,No set-up charge.,,,,,,,,,SB-802,1,123,C,5,107,C,25,97,C,100,89,C,,,,,,
SB-803,Star Business Card Award,130,Professional Gallery,Professional Gallery,Business Card Shadow Box,"Highly unique three-dimensional sculptures are handcrafted from an indivudual's business cards. Perfect for sales recognition awards, executive gifts, athletic awards, and also for birthdays, anniversaries or appreciation gifts. Includes your business cards, 4 line (3"" W x 1"" H) personalized plate, double acid free matting and shadow box wood frame with Rosewood finish. Please provide 20 business cards per unit.",56301 | Saint Cloud | MN,,SB-803.jpg,"7-1/2"" W x 11-1/2"" H",Rosewood,"Price includes 4 line (3"" W x 1"" H) personalized plate.",Silkscreen,,,7 working days.,,,,,,No set-up charge.,,,,,,,,,SB-803,1,142,C,5,123,C,25,112,C,100,103,C,,,,,,
SB-804,Motorcycle Business Card Award,130,Professional Gallery,Professional Gallery,Business Card Shadow Box,"Highly unique three-dimensional sculptures are handcrafted from an indivudual's business cards. Perfect for sales recognition awards, executive gifts, athletic awards, and also for birthdays, anniversaries or appreciation gifts. Includes your business cards, 4 line (3"" W x 1"" H) personalized plate, double acid free matting and shadow box wood frame with Black finish. Please provide 20 business cards per unit.",56301 | Saint Cloud | MN,,SB-804.jpg,"11-1/2"" W x 7-1/2"" H",Black,"Price includes 4 line (3"" W x 1"" H) personalized plate.",Silkscreen,,,7 working days.,,,,,,No set-up charge.,,,,,,,,,SB-804,1,135,C,5,117,C,25,107,C,100,98,C,,,,,,
SB-805,Ship Business Card Award,130,Professional Gallery,Professional Gallery,Business Card Shadow Box,"Highly unique three-dimensional sculptures are handcrafted from an indivudual's business cards. Perfect for sales recognition awards, executive gifts, athletic awards, and also for birthdays, anniversaries or appreciation gifts. Includes your business cards, 4 line (3"" W x 1"" H) personalized plate, double acid free matting and shadow box wood frame with Rosewood finish. Please provide 20 business cards per unit.",56301 | Saint Cloud | MN,,SB-805.jpg,"7-1/2"" W x 11-1/2"" H",Rosewood,"Price includes 4 line (3"" W x 1"" H) personalized plate.",Silkscreen,,,7 working days.,,,,,,No set-up charge.,,,,,,,,,SB-805,1,140,C,5,122,C,25,111,C,100,102,C,,,,,,
BW-LOGO,Custom Designed Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,"Your logo or building will be sculpted out of your business cards and then place onto a beautiful walnut base or elegant marble base. You have a choice of a clear glass dome, bottle or an acrylic box to house the sculpture. Individually packaged for shi",56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each.",BW-LOGO.jpg,"8-1/2"" x 4-3/4"" x 4-1/4"" bottle, 6"" x 3-1/2"" base.","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 to 10 working days.,,,,,,$170.00 (G) for custom prototype charge. $65.00 (G) for custom logo prototype charge.,,,,3,12,8,6,1,BW-LOGO,1,109,C,5,96,C,25,88,C,100,79,C,,,,,,
BW1-119,Eagle Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-119.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-119,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-120,Deer Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-120.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-120,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-121,Wolf Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-121.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-121,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-123,Bi-Plane,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-123.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-123,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-124,Antique Auto Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-124.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-124,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-127,House,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-127.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-127,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-128,Computer Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-128.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-128,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-129,Fork Lift Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-129.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-129,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-132,Van Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-132.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-132,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-138,Ambulance Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-138.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-138,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-152,Telephone,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-152.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-152,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-157,Pick-Up Truck Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-157.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-157,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW1-170,Step Van Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW1-170.jpg,"Bottle: 6"" x 4-3/4"" x 4-1/4"", Base: 6” x 3-1/2”, Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW1-170,1,102,C,5,91,C,25,83,C,100,76,C,,,,,,
BW2-122,Clipper Ship,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-122.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-122,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-131,Sloop Sail Boat,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-131.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-131,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-137,Tow Truck,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-137.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-137,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-139,Cadillac Ambulance Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-139.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-139,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-149,Dump Truck Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-149.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-149,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-150,Funeral Hearse Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-150.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-150,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-153,Bulldozer Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-153.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-153,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-154,TV Set Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-154.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-154,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-156,Moving Van Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-156.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-156,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
