HCL Item#,Item Status,Item Name,Description,Decoration,Web Link,Item Color,Item Size,Length,Width,Height,Carton Weight,Carton Qty,Standard Production Time,Item MOQ,Qty 2,Qty 3,Qty 4,Qty 5,Price 1,Price 2,Price 3,Price 4,Price 5,"Rush Cost ""R""",MOQ, Qty2, Qty3, Qty4, Qty5,Price1,Price2,Price3,Price4,Price5,Ocean Service,MOQ,Qty 2,Qty 3,Qty 4,Qty 5,Price 1,Price 2,Price 3,Price 4,Price 5 
L288,Disabled on Website,The Neutrino Flashlight,A flash light key chain," Price includes a one color one location imprint.  Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location.  Production time is 5 business days after all approvals.  Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1017,"Black, Purple, Orange, Green, Pink",N/A,16,8,12,20,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L289,Active/All Products,Bottle Opener Flashlight,A key chain flashlight with a bottle opener. The Digital Direct Printing process allows for a Bright and Colorful Eye-Catching Impression. DDP process only available on domestic orders.,"Imprint Area: 1 Diam     **24hr Rush must be 1-color / 1 location or DDP imprint only to qualify**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location. Add 24 hrs for required proofing on DDP method unless PMS colors are provided (pms colors can only be applied to vector art). DDP process only available on domestic orders. Production time begins after all approvals.  Please see Terms & Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1018,"Blue, Black, Red, Green",Call For Details,19,9,13,23,500,3 Day Service (R),100,250,500,1000,2500,0.99,0.99,0.99,0.99,0.99,24 Hour Rush (R),100,250,500,1000,2500,1.19,1.19,1.19,1.19,1.19,10 Weeks,5000,10000,25000,50000,,0.65,0.59,0.57,0.55,
L308,Active/All Products,Round-Shaped Reflective Retractable Badge Holder,A round retractable badge holder with the added safety of a reflector for extra visibility at night. Cord retracts to keep neat. Comes with Belt/Pocket Clip on back-side.,"Imprint Area: 3/4'' Diam   Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time is 5 business days after all approvals. See Terms &amp; Conditions Product safety and social compliance information.",http://www.highcaliberline.com//catalog/product/view/id/1019,"Silver, Red, Yellow",1 1/4 Diam,27,10,10,31,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L330,Active/All Products,Carabiner LED Flashlight w/ Gift Box,An aluminum flashlight featuring a bright white LED light with attached carabiner packaged in a black gift box with an extra set of battery refills.,"Imprint Area: 1''w x 5/16''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1020,"Blue, Black, Silver, Red",4 1/8w x 5/8h,14,9,14,23,200,3 Day Service (R),100,250,500,1000,2500,2.19,2.15,2.09,2.05,1.99,24 Hour Rush (R),100,250,500,1000,2500,2.39,2.35,2.29,2.25,2.19,10 Weeks,5000,10000,25000,50000,,1.49,1.39,1.29,1.19,
L333,Active/All Products,Industrial Triple LED Flashlight,"Aluminum flashlight with three super bright white LED lights for an extra powerful light. Comes with a wrist strap and 3 AAA batteries packaged in a white box. For permanent imprint, this item is laser engraved. 24 hour production not available for direct imprinting.  ","Imprint Area: 1''w x 1/2''h     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time is 5 business days after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1021,"Blue, Black, Silver",3 1/2w x 1h,9,23,15,40,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L340,Active/All Products,The Maverick Flashlight,"An aluminum flashlight with a standard light bulb and a split ring. Comes with 1 AAA battery packaged in white box. For permanent imprint, this item is laser engraved. 24 hour production not available for direct imprinting.","Imprint Area : 1 1/2''w x 5/16&ldquo;h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1022,"Blue, Black",3 3/4 Long,12,11,9,8,100,3 Day Service (R),100,250,500,1000,2500,2.39,2.35,2.29,2.25,2.19,24 Hour Rush (R),100,250,500,1000,2500,2.69,2.65,2.59,2.55,2.49,10 Weeks,5000,10000,25000,50000,,1.79,1.59,1.49,1.45,
L502,Active/All Products,Blank Clear ID/Badge Holder,"Clear trade show, ID or office badge holders can attach to most lanyards with a J-Hook, Bull Dog clip or one of our retractable badge holders. The zip lock helps to protect the inserted paper or ticket from moisture. Great for outdoor events. Price does not include imprint. To imprint on holders add $0.30 (v)/pc/ color plus set up of $50.00 (v)/color.","Imprint Area: 3''w x 2 1/2''h   Price based on blank holders. To imprint on holders, add $.30(v) /pc/color/location, plus a $50(v) setup charge/color/location. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please See Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1023,Clear,4 1/4w x 4h,16,12,8,44,1000,24 Hour Blank (R),250,500,1000,2500,,0.55,0.49,0.45,0.39,,,,,,,,,,,,,10 Weeks,10000,25000,50000,,,0.27,0.26,0.25,,
L503,Disabled on Website,Blank Ziplock Badge Holder,"Clear trade show, ID or office badge holders can attach to most lanyards with a J-Hook, Bull Dog clip or one of our retractable badge holders. The zip lock helps to protect the inserted paper or ticket from moisture. Great for outdoor events. Price does not include imprint. To imprint on holders add $0.30 (v)/pc/ color plus set up of $50.00 (v)/color.","Imprint Area: (Standard, Option 1 &amp; Option 2): 1 1/2''w x 1 1/2''h   Price based on blank holders. To imprint on holders, add $.30(v) /pc/color/location, plus a $50(v) setup charge/color/location. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please See Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1024,Clear,4 1/4w x 3 1/8h,12,10,11,35,1000,24 Hour Blank (R),250,500,1000,2500,,0.65,0.59,0.55,0.49,,,,,,,,,,,,,10 Weeks,10000,25000,50000,,,0.39,0.37,0.35,,
L504,Active/All Products,Blank Clear ID/Badge Holder,"Clear trade show, ID or office badge holders can attach to most lanyards with a J-Hook, Bull Dog clip or one of our retractable badge holders.","Imprint Area: 2 1/2w x 3h  Price based on blank holders. To imprint on holders, add $.30(v) /pc/color/location, plus a $50(v) setup charge/color/location. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please See Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1025,Clear,3 1/8w x 4 1/4 h,12,12,7,18,1000,24 Hour Blank (R),250,500,1000,2500,,0.49,0.45,0.39,0.35,,,,,,,,,,,,,10 Weeks,10000,25000,50000,,,0.21,0.2,0.19,,
L505,Active/All Products,Blank Clear ID/Badge Holder,"Clear trade show, ID or office badge holders can attach to most lanyards with a J-Hook, Bull Dog clip or one of our retractable badge holders.","Imprint Area: 3 1/2''w x 2 1/2''h     Price based on blank holders. To imprint on holders, add $.30(v) /pc/color/location, plus a $50(v) setup charge/color/location. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please See Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1026,Clear,(Upper Pocket): 4 1/4w x 3 1/8h                     (Bottom Pocket): 4 1/4w x 2 1/4h,14,10,6,37,1000,24 Hour Service (R),250,500,1000,2500,,0.55,0.49,0.45,0.39,,,,,,,,,,,,,10 Weeks,10000,25000,50000,,,0.25,0.23,0.22,,
L506,Active/All Products,Blank Clear ID/Badge Holder,"Clear trade show, ID or office badge holders can attach to most lanyards with a J-Hook, Bull Dog clip or one of our retractable badge holders.","Imprint Area: 3 1/2''w x 3 1/2''h     Price based on blank holders. To imprint on holders, add $.30(v) /pc/color/location, plus a $50(v) setup charge/color/location. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please See Terms &amp; Conditions and Product Safety for more Information.                         ",http://www.highcaliberline.com//catalog/product/view/id/1027,Clear,5w x 4h,12,12,9,23,1000,24 Hour Blank (R),250,500,1000,2500,,0.55,0.49,0.45,0.39,,,,,,,,,,,,,10 Weeks,10000,25000,50000,,,0.25,0.23,0.22,,
L507,Active/All Products,Blank Clear Badge Holder,"Clear trade show, ID or office badge holders can attach to most lanyards with a J-Hook, Bull Dog clip or one of our retractable badge holders.","Imprint Area: (Standard, Option1 &amp; Option2): 2 1/2''w x 1 1/2''h  Price based on blank holders. To imprint on holders, add $.30(v) /pc/color/location, plus a $50(v) setup charge/color/location. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please See Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1028,Clear,4 1/4w x 3 7/8h,18,11,9,34,2000,24 Hour Blank (R),250,500,1000,2500,,0.49,0.39,0.29,0.25,,,,,,,,,,,,,10 Weeks,10000,25000,50000,,,0.19,0.18,0.17,,
L601,Active/All Products,3/4 Dog Leash,"Polyester screen printed leashes for medium and small dogs. Price includes a one color, one side, step and repeat imprint. Estimator Tensile strength is 200 lbs.","Imprint Area: 64Â” w x 1/2Â”h (Step and repeat)    Additional colors on first side are $0.06(v)/pc/color plus a $50(v) setup charge/color. For 2nd side imprint, add $0.08(v)/pc for the 1st color and $0.06(v)/pc/color for additional colors plus a $50(v) setup charge/color. Production time begins after all approvals. See Custom Lanyard Information for lanyard production details.",http://www.highcaliberline.com//catalog/product/view/id/1029,Custom,3/4w x 66 Long,24,12,12,40,250,4-5 Week Service (R),500,1000,2500,,,4.89,4.49,4.09,,,,,,,,,,,,,,10 Weeks,5000,10000,25000,50000,,2.49,2.35,2.19,2.05,
L603,Active/All Products,3/4 Dog Collar,"Polyester screen printed collars for medium and small dogs. Price includes a one color, one side, step and repeat imprint. EstimatorTensile strength is 190 lbs. ","Imprint Area: 16''w x 1/2''h (Step and repeat)   Additional colors on first side are $0.06(v)/pc/color plus a $50(v) setup charge/color. For 2nd side imprint, add $0.08(v)/pc for the 1st color and $0.06(v)/pc/color for additional colors plus a $50(v) setup charge/color. Production time begins after all approvals. See Custom Lanyard Information for lanyard production details.",http://www.highcaliberline.com//catalog/product/view/id/1030,Custom,3/4w 27.56 Long,24,12,12,36,500,4-5 Week Service (R),500,1000,2500,,,1.39,1.29,1.25,,,,,,,,,,,,,,10 Weeks,5000,10000,25000,50000,,0.85,0.79,0.75,0.69,
L604,Active/All Products,3/8 Dog Collar,"Polyester screen printed collars for small dogs. Price includes a one color, one side, step and repeat imprint. Estimator Tensile strength is 135 lbs. ","Imprint Area: 16'' w x 1/4''h (Step and repeat)   Additional colors on first side are $0.06(v)/pc/color plus a $50(v) setup charge/color. For 2nd side imprint, add $0.08(v)/pc for the 1st color and $0.06(v)/pc/color for additional colors plus a $50(v) setup charge/color. Production time begins after all approvals. See Custom Lanyard Information for lanyard production details.",http://www.highcaliberline.com//catalog/product/view/id/1031,Custom,3/8w x 27.56 Long,24,12,12,25,1000,4-5 Week Service (R),500,1000,2500,,,0.89,0.85,0.79,,,,,,,,,,,,,,10 Weeks,5000,10000,25000,50000,,0.49,0.45,0.42,0.39,
L704,Active/All Products,Aluminum LED Pen Light,"You'll make light work of success once your campaign includes the aluminum LED pen light! Measuring 5, this high quality, aluminum, bright white LED, pen-sized flashlight with a pocket clip includes 1 AAA battery packaged separately. Everywhere clients and prospects go, they'll easily take this giveaway – and a reminder of your brand – with them. It's perfect for any project, business or event. Have your logo or message imprinted. Order now!","Imprint Area: 2''w x 5/16&ldquo;h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. See Terms &amp; Conditions Product safety and social compliance information.",http://www.highcaliberline.com//catalog/product/view/id/1032,"Blue, Silver",5 Long,13,22,6,23,200,3 Day Service (R),100,250,500,1000,2500,3.49,3.45,3.39,3.35,3.29,24 Hour Rush (R),100,250,500,1000,2500,3.79,3.75,3.69,3.65,3.59,10 Weeks,5000,10000,25000,50000,,2.59,2.55,2.49,2.45,
L705,Active/All Products,14 LED Aluminum Flashlight,"A super bright 14 LED aluminum flashlight with a push button On/Off switch. Includes a strap and 3 AAA batteries packaged in a white box. For permanent imprint, this item is laser engraved. 24 hour production not available for direct imprinting.","Imprint Area: 2''w x 3/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. See Terms &amp; Conditions Product safety and social compliance information.",http://www.highcaliberline.com//catalog/product/view/id/1033,"Blue, Black, Red, Green",4 3/4 Long,12,16,8,36,100,3 Day Service (R),100,250,500,1000,2500,4.39,4.35,4.29,4.25,4.19,24 Hour Rush (R),100,250,500,1000,2500,4.69,4.65,4.59,4.55,4.49,10 Weeks,5000,10000,25000,50000,,3.29,3.19,3.09,2.99,
L706,Active/All Products,The Amenia 14 LED Flashlight,A super bright 14 LED flashlight with a push button On/Off switch. Includes 3 AAA batteries packaged separately.,"Imprint Area: 1''w x 1/2''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. See Terms &amp; Conditions Product safety and social compliance information.",http://www.highcaliberline.com//catalog/product/view/id/1034,"Blue, Black, Red",5 1/4 Long,20,20,10,54,200,3 Day Service (R),100,250,500,1000,2500,3.39,3.35,3.29,3.25,3.19,24 Hour Rush (R),100,250,500,1000,2500,3.69,3.65,3.59,3.55,3.49,10 Weeks,5000,10000,25000,50000,,2.39,2.29,2.25,2.19,
L707,Active/All Products,7 LED Key Chain Flashlight,"An aluminum flashlight with seven super bright white LED lights, a carabiner key chain and 4 cell button batteries (included). For permanent imprint, this item is laser engraved. 24 hour production not available for direct imprinting.","Imprint Area: 1 1/8''w x 3/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1035,"Blue, Black, Red",2 3/4h,18,12,12,39,500,3 Day Service (R),100,250,500,1000,2500,2.39,2.35,2.29,2.25,2.19,24 Hour Rush (R),100,250,500,1000,2500,2.69,2.65,2.59,2.55,2.49,10 Weeks,5000,10000,25000,50000,,1.59,1.49,1.45,1.39,
L712,Active/All Products,The Pop Light Bottle Opener Keychain,"A multi function bottle opener that holds your keys opens your bottles with a bright 3 bulb LED flashlight. Push-button control turns off automatically upon release to save batteries. For permanent imprint, this item is laser engraved. 24 hour production not available for direct imprinting.","Imprint Area: 7/8''w x 3/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**   Laser engraving is the standard and preferred method of decorating metal items. Direct imprinting can and will come off over time and use. Direct imprinting includes a one color one location imprint. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals.",http://www.highcaliberline.com//catalog/product/view/id/1036,"Blue, Black, Silver",2 1/2 Long,17,11,12,35,500,3 Day Service (R),100,250,500,1000,2500,2.49,2.45,2.39,2.35,2.29,24 Hour Rush (R),100,250,500,1000,2500,2.79,2.75,2.69,2.65,2.59,10 Weeks,5000,10000,25000,50000,,1.89,1.79,1.75,1.69,
P100,Disabled on Website,Pace Setter Pedometer,"This clip-on pedometer calculates steps, distance and calories burned. For best accuracy, wear it on your hip using the pocket/belt clip.","Imprint Area: 11/16''w x 3/8''h   Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time is 5 business days after all approvals. See Terms &amp; Conditions Product safety and social compliance information.",http://www.highcaliberline.com//catalog/product/view/id/1037,Blue,,12,11,12,14,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P102,Active/All Products,Economiser Step Counter Pedometer,"An easy to use compact plastic pedometer that calculates each step taken. Comes with a reset button, cover and a pocket/belt clip for comfortable wearing. For best accuracy, wear it on your hip. Full color add an additional $.40(v).The Digital Direct Printing process allows for a Bright and Colorful Eye-Catching Impression. DDP process only available on domestic orders.",Imprint Area: 1 1/2''w x 7/8''h                                   (Optional): 3/4''w x 1/4''h     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location. Add 24 hrs for required proofing on DDP method unless PMS colors are provided (pms colors can only be applied to vector art). DDP process only available on domestic orders. This product is not intended for children 12 and under. Production time begins after all approvals.  Please see Terms & Conditions and Product Safety for more Information.  ,http://www.highcaliberline.com//catalog/product/view/id/1038,"Red, Purple",2 1/8w x 1 1/2h,14,11,10,14,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P103,Active/All Products,Classic Pedometer w/ Clock,"PATENT: D571,677 The original pedometer that started the craze for our entire line of pedometers. The pedometer calculates steps, distance, time and calories burned. For best accuracy, wear it on your hip using the pocket/belt clip. The Digital Direct Printing process allows for a Bright and Colorful Eye-Catching Impression. DDP process only available on domestic orders.",Imprint Area: 5/15''w x 5/16''h     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location. Add 24 hrs for required proofing on DDP method unless PMS colors are provided (pms colors can only be applied to vector art). DDP process only available on domestic orders. Production time is 5 business days after all approvals. This product is not intended for children 12 and under. Please see Terms & Conditions and Product Safety for more Information.,http://www.highcaliberline.com//catalog/product/view/id/1039,"Red, Purple",2 1/4w x 1 1/2h,19,13,11,19,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P107,Active/All Products,Heart Shape Pedometer,"PATENT: D539,179 A multi-function pedometer in the shape of a heart with a pocket/ belt clip and a round area on the front for a full color digital logo. The pedometer calculates steps, distance, time and calories burned. For best accuracy, wear it on your hip.","Imprint Area: 1 3/16'' Diam     **24 Hour Rush must be 1-color / 1 location or DDP imprint only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Standard Vinyl Insert with DDP Imprint only. Add 24 hrs for required proofing on DDP method unless PMS colors are provided (pms colors can only be applied to vector art). DDP process only available on domestic orders. This product is not intended for children 12 and under. Production time begins after all approvals. See Terms &amp; Conditions Product safety and social compliance information.",http://www.highcaliberline.com//catalog/product/view/id/1040,"Translucent Red, Green",2 1/4w x 2h,14,12,11,18,200,3 Day Service (R),150,250,500,1000,2500,3.29,3.25,3.19,3.15,3.09,24 Hour Rush (R),150,250,500,1000,2500,3.59,3.55,3.49,3.45,3.39,10 Weeks,5000,10000,25000,50000,,2.49,2.39,2.29,2.19,
P108,Active/All Products,Jogger Pedometer,"PATENT: D526,916 Be seen and be safe with the Jogger Pedometer. The Jogger has 4 yellow blinking lights that shine in 3 different directions to be easily seen by motorists. This pedometer calculates steps, distance and calories burned. It also has a belt clip, a clock and comes with 2 AAA batteries packed separately. For best accuracy, wear it on your hip.","Imprint Area: 1 3/16''w x 5/16''h     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. This product is not intended for children 12 and under. Production time begins after all approvals. See Terms &amp; Conditions Product safety and social compliance information.",http://www.highcaliberline.com//catalog/product/view/id/1041,"White, Blue, Silver",2 3/4 Diam,15,14,13,26,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P109,Disabled on Website,Retractable Badge Holder Pedometer,"PATENT PENDING This multi-function pedometer has a 30 inch retractable badge holder built into the bottom of it and a pocket/belt clip. This is great for hospitals, offices and trade shows. The pedometer calculates steps, distance, time and calories burned. For best accuracy, wear it on your hip. DDP process only available on domestic orders.","Imprint Area: 1 1/2''w x 2''h     **24hr Rush must be 1-color / 1 location or DDP imprint only to qualify**   Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Add $.40(v)to any of the 70 items to go full color w/ Digital Direct Printing. Add 24 hrs for required proofing on DDP method unless PMS colors are provided (pms colors can only be applied to vector art). Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1042,"Blue, Black",2 3/8w x 3h,27,14,9,34,200,3 Day Service (R),100,250,500,1000,2500,3.69,3.59,3.49,3.45,3.39,24 Hour Rush (R),100,250,500,1000,2500,3.99,3.89,3.79,3.75,3.69,10 Weeks,5000,10000,25000,50000,,2.69,2.59,2.49,2.39,
P110,Active/All Products,Panic Pedometer,"PATENT: D564,377 A great new combo of a multi-function pedometer with a panic siren, flashlight, clock, pocket/belt clip and a sensitivity button built in. Just pull the wrist strap to set off the siren or the siren can be controlled by a switch on the back if the strap is removed. The pedometer calculates steps, distance and calories burned. For best accuracy, wear it on your hip. DDP process only available on domestic orders.","Imprint Area: 1''w x 1 1/2''h     **24hr Rush must be 1-color / 1 location or DDP imprint only to qualify**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location. Add 24 hrs for required proofing on DDP method unless PMS colors are provided (pms colors can only be applied to vector art). DDP process only available on domestic orders. Production time begins after all approvals.  Please see Terms & Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1043,Red,2w x 2 3/8“h,13,12,13,21,200,3 Day Service (R),150,250,500,1000,2500,4.49,4.39,4.29,4.25,4.19,24 Hour Rush (R),150,250,500,1000,2500,4.79,4.69,4.59,4.55,4.49,10 Weeks,5000,10000,25000,50000,,3.39,3.29,3.19,3.09,
P113,Active/All Products,Marathon Pedometer,"The Marathon pedometer is a step counter which counts up to 99,999 steps. For best accuracy, wear it on your hip using the pocket/belt clip. Full color add an additional $.40(v).The Digital Direct Printing process allows for a Bright and Colorful Eye-Catching Impression.",Imprint Area: 15/16'' w x 5/16''h     **24hr Rush must be 1-color / 1 location or DDP imprint only to qualify**     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location. Add 24 hrs for required proofing on DDP method unless PMS colors are provided (pms colors can only be applied to vector art). DDP process only available on domestic orders. This product is not intended for children 12 and under. Production time begins after all approvals.  Please see Terms & Conditions and Product Safety for more Information.,http://www.highcaliberline.com//catalog/product/view/id/1044,"Solid Orange, Magenta",1 7/8w x 1 3/8h,11,9,11,10,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P113e,Disabled on Website,Marathon Pedometer,"The Marathon pedometer is a step counter which counts up to 99,999 steps. For best accuracy, wear it on your hip using the pocket/belt clip.The Marathon pedometer is a step counter which counts up to 99,999 steps. For best accuracy, wear it on your hip using the pocket/belt clip. Full color add an additional $.30(v). The Digital Direct Printing process allows for a Bright and Colorful Eye-Catching Impression.","Imprint Area: 15/16''w x 5/16''h     Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Add $.40(v)to any of the 70 items to go full color w/ Digital Direct Printing. Add 24 hrs for required proofing on DDP method unless PMS colors are provided (pms colors can only be applied to vector art). This product is not intended for children 12 and under. Production time is 5 business days after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1045,White,,11,9,11,10,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P210,Active/All Products,The Maui Pen,A plastic click action ballpoint pen with a metal pocket clip and black ink. Maximum one color for wrap imprint.,"Imprint Area: (Side Imprint): 1 1/4w x 5/16h                      (Standard Wrap): 1 1/4w x 3/4h (1 Color Max)     Price includes a one color wrap imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location.Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/1046,"Blue, Black, Red, Green",5 1/2 Long,20,12,8,28,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
