Product Line,ChargeName,ChargeType,Imprint Name,Description,Charge,Column Code
Sovrano,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Sovrano,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
Sovrano Totes,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Sovrano Totes,Setup (g),OTHER,,Personalization Setup,56.25,g
Sovrano Totes,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Sovrano Totes,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Sovrano Totes,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Sovrano Totes,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Sovrano Totes,Setup (g),OTHER,,ColorSplash,56.25,g
Sovrano Totes,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Sovrano Totes,Setup (g),OTHER,,Color Change,25,g
Sovrano Totes,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Sovrano Totes,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Sovrano Totes,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Sovrano Totes,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Sovrano Totes,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Sovrano Totes,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Sovrano Totes,Repeat (g),OTHER,,ColorSplash,25,g
Sovrano Totes,Repeat (g),IMPRINT,Print,Color Change,25,g
Sovrano Totes,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Sovrano Totes,Additional Color / Locations,OTHER,,Laser,0.4,g
Sovrano Totes,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Sovrano Totes,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Sovrano Totes,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Sovrano Totes,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Sovrano Totes,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Sovrano Totes,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Sovrano Totes,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Sovrano Totes,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Sovrano Totes,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Sovrano Totes,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Sovrano Totes,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Sovrano Totes,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Sovrano Totes,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Sovrano Totes,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Sovrano Totes,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Sovrano Totes,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Sovrano Totes,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Sovrano Totes,Miscellaneous (g),OTHER,,Label Application,0.15,g
Sovrano Totes,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Sovrano Totes,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Sovrano Totes,Miscellaneous (g),OTHER,,Polybag,0.25,g
Sovrano Totes,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Sovrano Totes,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
Bettoni Luggage,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Bettoni Luggage,Setup (g),OTHER,,Personalization Setup,56.25,g
Bettoni Luggage,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Bettoni Luggage,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Bettoni Luggage,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Bettoni Luggage,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Bettoni Luggage,Setup (g),OTHER,,ColorSplash,56.25,g
Bettoni Luggage,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Bettoni Luggage,Setup (g),OTHER,,Color Change,25,g
Bettoni Luggage,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Bettoni Luggage,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Bettoni Luggage,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Bettoni Luggage,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Bettoni Luggage,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Bettoni Luggage,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Bettoni Luggage,Repeat (g),OTHER,,ColorSplash,25,g
Bettoni Luggage,Repeat (g),IMPRINT,Print,Color Change,25,g
Bettoni Luggage,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Bettoni Luggage,Additional Color / Locations,OTHER,,Laser,0.4,g
Bettoni Luggage,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Bettoni Luggage,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Bettoni Luggage,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Bettoni Luggage,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Bettoni Luggage,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Bettoni Luggage,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Bettoni Luggage,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Bettoni Luggage,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Bettoni Luggage,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Bettoni Luggage,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Label Application,0.15,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Polybag,0.25,g
Bettoni Luggage,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Bettoni Luggage,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
