Item# (SKU),Item Name,Special Name,Sale?,Sale Qty,Sale Price,Sale Code,Sale Expires
EXECFLG,Executive Desk Set,Best Sellers,Y,50,3.99,C,
EXECNTFL_CL,Executive Note Flags - Closeout,Closeouts,Y,100,2.45,C,
EXERBODY,Exercise Body Band,Best Sellers,Y,50,5.69,C,
EXMANPNC,Executive Mechanical Pencil,Under  1,,,0,,
EXMANPNC,Executive Mechanical Pencil,Best Sellers,Y,500,0.63,C,
EYESGTST,Eyesight Set,Color Surge,,,0,,
EZFILPKT_CL,EZ Fill Pocket Pill - Closeout,Closeouts,Y,250,0.79,C,
FANCSTPN,Fancy Metal Stylus Pen,New Products,,,0,,
FENDUFL_CL,Fenway Duffel Bag - Closeout,Closeouts,Y,100,4.99,C,
FESTVLPN,Festival Pen,Always Available,,,0,,
FESTVLPN,Festival Pen,Under  1,,,0,,
FESTVLPN,Festival Pen,Best Sellers,Y,500,0.55,C,
FESTVLPN,Festival Pen,Inkredible Pens,,,0,,
FFOBLTHS,FIFO Bluetooth Headset,New Products,,,0,,
FFORTCHG,FIFO Retractable Charger,Color Surge,,,0,,
FIFTPWBK,Fifty Two Hundred Power Bank and LED Light,New Products,,,0,,
FITNFAB,Fit-N-Fabulous,New Products,,,0,,
FITNKIT,Fitness Kit,New Products,,,0,,
FLDGOBG_CL,Fold and Go Travel Bag - Closeout,Closeouts,Y,100,3.99,C,
FLEXFOLD_CL,Flexi-Fold Cell Phone Holder - Closeout,Closeouts,Y,165,0.33,C,
FLEXRULE,Flexi Ruler,Best Sellers,Y,250,1.09,C,
FLIPBNDG,Flip Top Bandage Holder,Under  1,,,0,,
FLIPBNDG,Flip Top Bandage Holder,Best Sellers,Y,250,0.79,C,
FLIPPORT,Flip Port,New Products,,,0,,
FLOATER,Floater Key Chain,Always Available,,,0,,
FLOATER,Floater Key Chain,Under  1,,,0,,
FLOATER,Floater Key Chain,Best Sellers,Y,250,0.99,C,
FLOS2GO,Floss 2 Go,Under  1,,,0,,
FLOS2GO,Floss 2 Go,Best Sellers,Y,250,0.99,C,
FLOS2GO_CL,Floss 2 Go - Closeout,Closeouts,Y,250,0.94,C,
FLPNCHG,Flip N Charge USB Key Chain,New Products,,,0,,
FLSNRND_CL,Floss N A Round - Closeout,Closeouts,Y,250,0.79,C,
FOOTBL3,Sports Stress Reliever,Under  1,,,0,,
FOOTBL3,Sports Stress Reliever,Best Sellers,Y,250,0.99,C,
FOOTLONG_CL,Foot Long Ruler - Closeout,Closeouts,Y,250,0.8,C,
FOURPWBK,4400 Power Bank,New Products,,,0,,
FRVWPENC_CL,Fairview Mechanical Pencil - Closeout,Closeouts,Y,500,0.59,C,
FTNSDUFL,Fitness Duffel Bag,Color Surge,,,0,,
FXHEADPH,FX Headphones,Color Surge,,,0,,
GADGTLLT,Gadget Tool Light,New Products,,,0,,
GAMEBLKT,Game Day Lap Blanket,Exclusives,,,0,,
GAMEBLKT,Game Day Lap Blanket,Color Surge,,,0,,
GAMEBLKT,Game Day Lap Blanket,Best Sellers,Y,25,6.99,C,
GAMESEAT_CL,Game Day Seat - Closeout,Closeouts,Y,25,3.84,C,
GELEHIGH,Gel E Highlighter,Under  1,,,0,,
GEMHIPEN_CL,Gemini Highlighter Pen - Closeout,Closeouts,Y,250,0.79,C,
GEMHIPNS_CL,Gemini Highlighter Pen - Silver - Closeout,Closeouts,Y,250,0.79,C,
GEMINIPN_CL,Gemini Pen - Closeout,Closeouts,Y,500,0.66,C,
GEMINPNS_CL,Gemini Pen - Silver - Closeout,Closeouts,Y,500,0.66,C,
GETFITDF,Get Fit Duffel,Exclusives,,,0,,
GETFITDF,Get Fit Duffel,Color Surge,,,0,,
GETFITDF,Get Fit Duffel,Best Sellers,Y,50,10.39,C,
GLIMMER,Glimmer Light Up Pen,Best Sellers,Y,150,1.59,C,
GLOBE,Globe Shaped Stress Reliever,Under  1,,,0,,
GLOBE,Globe Shaped Stress Reliever,Best Sellers,Y,250,0.99,C,
GOLFBALL,Authoritee  Golf Balls,Best Sellers,Y,6dz.,16.95,C,
GOLFBALL_CL,Authoritee Golf Balls - Closeout,Closeouts,Y,16dz.,11.49,C,
GOLFKIT,Golf Kit,New Products,,,0,,
GOLFTEE,Golf Tee Set,Best Sellers,Y,150,1.39,C,
GOLFTOWL,Golf Towel,Best Sellers,Y,100,2.79,C,
GOTOTE,Go Tote,Color Surge,,,0,,
GOTOTE,Go Tote,Best Sellers,Y,150,1.29,C,
GRABUTST,Grab Lunch Utensil Set,New Products,,,0,,
GRPBOLD,16oz. Grip N Go Bold,Exclusives,,,0,,
GRPGRAN,16oz Grip N Go Grande,Exclusives,,,0,,
GRPGRAN,16oz Grip N Go Grande,Best Sellers,Y,72,3.79,C,
GRVGLWLT,Groovy Glow Lights,New Products,,,0,,
GSRVTQSR,Rivet LED Keylight & Quasar Pen Gift Set,Best Sellers,Y,150,2.99,C,
GTEES_CL,Short Golf Tees - Closeout,Closeouts,Y,1000,0.06,C,
HABTSHP,Habitat Shopper,Color Surge,,,0,,
HABTSHP,Habitat Shopper,Best Sellers,Y,250,1.35,C,
HANCCKPN,Hancock Pen,New Products,,,0,,
HANDSAN,1oz. Hand Sanitizer,Under  1,,,0,,
HANDSAN,1oz. Hand Sanitizer,USA Made,,,0,,
HANLOTON,1oz. Hand Sanitizer Lotion,USA Made,,,0,,
HANSPRAY,Hand Sanitizer Spray Pump,Always Available,,,0,,
HANSPRAY,Hand Sanitizer Spray Pump,Under  1,,,0,,
HANSPRAY,Hand Sanitizer Spray Pump,Best Sellers,Y,250,0.79,C,
HAPHRTMB,24oz. Happy Hour Tumbler,New Products,,,0,,
HATCHBAG,Hatchback Cooler Bag,Color Surge,,,0,,
HATTRIKKT,Hat Trick  Can Cooler Kit,Exclusives,,,0,,
HEARTRE,Heart Shaped Stress Reliever,Under  1,,,0,,
HEARTRE,Heart Shaped Stress Reliever,Best Sellers,Y,250,0.89,C,
HEROHT,bubba  14oz. Hero HT Tumbler,New Products,,,0,,
HICKIES_CL,Hickies - Closeout,Closeouts,Y,24,13.56,C,
HIFIVHI_CL,Hi Five Highlighter - Closeout,Closeouts,Y,150,1.75,C,
HISTNTOT,Histen Tote Bag,New Products,,,0,,
HISTNTOT,Histen Tote Bag,Color Surge,,,0,,
HLTHHND,Healthy Hand Sanitizer,Color Surge,,,0,,
HNDWARM,Hand Warmers,USA Made,,,0,,
HOLNTLVL,Hole-nother Level,New Products,,,0,,
HOTSHTGL,Hot Shot Glass,New Products,,,0,,
HYDRAPK,Hydrapack,Color Surge,,,0,,
IGGINFSR,Iggy Infuser,New Products,,,0,,
IGGINFSR,Iggy Infuser,Color Surge,,,0,,
INSHPTOT,Insulated Shopper Tote,Color Surge,,,0,,
INTOUCH,Intouch Flashlight Pen,Under  1,,,0,,
ITABSLV,I-Tablet Sleeve,Exclusives,,,0,,
ITABSLV,I-Tablet Sleeve,Color Surge,,,0,,
ITABSLV,I-Tablet Sleeve,Best Sellers,Y,50,6.59,C,
JAVAMUG_CL,Java Stripe Mug - Closeout,Closeouts,Y,144,2.22,C,
JETBKSK,Jetty Backsack,Color Surge,,,0,,
JETBKSK,Jetty Backsack,Best Sellers,Y,150,2.49,C,
JIVEHDPH,Jive Bluetooth Headphones,New Products,,,0,,
JIVEHDPH,Jive Bluetooth Headphones,Color Surge,,,0,,
JUBCLTOT,Jubilee Cooler Tote,New Products,,,0,,
JUBCLTOT,Jubilee Cooler Tote,Color Surge,,,0,,
JUMBOHI_CL,Jumbo Highlighter - Closeout,Closeouts,Y,250,0.79,C,
JUPITPN,Jupiter Pen,New Products,,,0,,
JUPITPN,Jupiter Pen,Under  1,,,0,,
JUPITPN,Jupiter Pen,Inkredible Pens,,,0,,
K2USBFAN,K2 USB Fan,Best Sellers,Y,60,5.99,C,
KCMSHBK,KC Mesh Backsack,Color Surge,,,0,,
KCMSHBK,KC Mesh Backsack,Best Sellers,Y,150,2.79,C,
KICKSTND,Kickstand,Exclusives,,,0,,
KICKSTND,Kickstand,Under  1,,,0,,
KICKSTND,Kickstand,Best Sellers,Y,250,0.99,C,
KLCSTK,Klicker Stick Pen,Under  1,,,0,,
KLCSTK,Klicker Stick Pen,Best Sellers,Y,500,0.35,C,
KLICKPN_CL,Klick Klick Pen - Closeout,Closeouts,Y,500,0.28,C,
KLPNOTES,KlipNotes,Exclusives,,,0,,
KLPNOTES,KlipNotes,Always Available,,,0,,
KLPNOTES,KlipNotes,Under  1,,,0,,
KLPNOTES,KlipNotes,Best Sellers,Y,250,0.79,C,
LAPTPSLV_CL,Laptop Sleeve - Closeout,Closeouts,Y,50,4.98,C,
LAZERBTL,30oz. Lazer Flat Bottle,Exclusives,,,0,,
LCLREX,Executive L-Curve Padfolio,Best Sellers,Y,60,7.69,C,
LCLRJR,Jr. Executive L-Curve Padfolio,Best Sellers,Y,80,4.99,C,
LCURVEJR,Jr. Executive L-Curve Padfolio,Best Sellers,Y,80,4.99,C,
LCURVEX,Executive L-Curve Padfolio,Best Sellers,Y,60,7.69,C,
LCURVEX_CL,Executive L-Curve Padfolio - Closeout,Closeouts,Y,60,6.99,C,
LETHSTPK_CL,Leatherette Key Strap - Closeout,Closeouts,Y,150,1.79,C,
LGTNLOOK,Light N Look,Color Surge,,,0,,
LGTNLOOK,Light N Look,Best Sellers,Y,150,1.99,C,
LIPBALM,Lip Balm,Under  1,,,0,,
LIPBALM,Lip Balm,USA Made,,,0,,
LNZSTPN,Lanza Stylus Pen,Under  1,,,0,,
LOLATMBL,8oz. Lola Tumbler,New Products,,,0,,
LONGTEES,Long Golf Tees,Under  1,,,0,,
LTDFLTBL,16oz. Latitude Flat Bottle,Best Sellers,Y,250,1.59,C,
LUGARND_CL,Lug A Round - Closeout,Closeouts,Y,250,0.76,C,
LUGSPAT_CL,LuggageSpotter - with Patterns - Closeout,Closeouts,Y,100,1.72,C,
LUGSPTOR,LuggageSpotter,Color Surge,,,0,,
LUGSPTOR,LuggageSpotter,Best Sellers,Y,250,1.59,C,
LUGSTRAP_CL,Luggage Strap - Closeout,Closeouts,Y,150,2.51,C,
LYMBPOCK,Lycra Mobile Pocket,New Products,,,0,,
LYNXPEN_CL,Lynx Pen - Closeout,Closeouts,Y,165,0.6,C,
MAGNACLP,Magna Clips,Always Available,,,0,,
MAGNACLP,Magna Clips,Best Sellers,Y,250,1.05,C,
MAGNAJMB,Jumbo Magna Clips,Always Available,,,0,,
MAGNAJMB,Jumbo Magna Clips,Color Surge,,,0,,
MAGNAJMB,Jumbo Magna Clips,Best Sellers,Y,250,1.29,C,
MAGNIKL_CL,Magnifier Key Light - Closeout,Closeouts,Y,150,1.27,C,
MANHATTB,Manhattan Tumbler,New Products,,,0,,
MANHATTB,Manhattan Tumbler,Exclusives,,,0,,
MANI2GO_CL,Manicure-to-Go - Closeout,Closeouts,Y,250,1.69,C,
MANSALON,Manicure Salon Set,Color Surge,,,0,,
MARCOPN,Marco Pen,Under  1,,,0,,
MARCOPN,Marco Pen,Best Sellers,Y,500,0.39,C,
MARCOPN_CL,Marco Pen - Closeout,Closeouts,Y,500,0.35,C,
MARKITUP_CL,Mark it Up Permanent Marker - Closeout,Closeouts,Y,500,0.23,C,
MASTRTL,Master Tool,New Products,,,0,,
MAZECAL_CL,Maze Calculator - Closeout,Closeouts,Y,100,3.69,C,
MAZEPN,Maze Pen,Under  1,,,0,,
MAZEPN,Maze Pen,Best Sellers,Y,500,0.49,C,
MEALTOGO,Meals to Go Insulated Carrier,New Products,,,0,,
MEALTOGO,Meals to Go Insulated Carrier,Exclusives,,,0,,
MEDIALNG,Media Lounger,Exclusives,,,0,,
MEDIALNG,Media Lounger,Best Sellers,Y,150,1.59,C,
MEDIASTA,Media Station,Exclusives,,,0,,
MEDIASTA,Media Station,Always Available,,,0,,
MEDIASTA,Media Station,Best Sellers,Y,150,1.69,C,
MEDILNGS,Media Lounger,Exclusives,,,0,,
MEDILNGS,Media Lounger,Always Available,,,0,,
MEDILNGS,Media Lounger,Best Sellers,Y,150,1.59,C,
MEMOCUBE,Memo Cube,Best Sellers,Y,150,1.59,C,
METPBKSK,Metropolis Backsack,New Products,,,0,,
METPBKSK,Metropolis Backsack,Exclusives,,,0,,
METPBKSK,Metropolis Backsack,Color Surge,,,0,,
METROBK,Metro Backsack,Color Surge,,,0,,
METROBK,Metro Backsack,Best Sellers,Y,150,3.39,C,
METROBK_CL,Metro Backsack - Closeout,Closeouts,Y,150,2.88,C,
MGLFBATH_CL,Mini Golf Bag Kit - Closeout,Closeouts,Y,72,8.38,C,
MICRCLTH,Microfiber Cleaning Cloth,Always Available,,,0,,
MICRCLTH,Microfiber Cleaning Cloth,Under  1,,,0,,
MICRCLTH,Microfiber Cleaning Cloth,Color Surge,,,0,,
MICROSTD,Micro Media Stand,Exclusives,,,0,,
MICROSTD,Micro Media Stand,Color Surge,,,0,,
MICROSTD,Micro Media Stand,Best Sellers,Y,150,0.99,C,
MINICHI,Mini Chi Chi Bag,Exclusives,,,0,,
MINICHI,Mini Chi Chi Bag,Color Surge,,,0,,
MINICHI,Mini Chi Chi Bag,Best Sellers,Y,150,1.99,C,
MINIDESK,Mini Desk,Color Surge,,,0,,
MINIDESK,Mini Desk,Best Sellers,Y,150,2.25,C,
MINISTKY,Mini Sticky Book,Best Sellers,Y,250,1.19,C,
MINIWRIT,Mini Write-Away Notebook,Under  1,,,0,,
MINIWRIT,Mini Write-Away Notebook,Best Sellers,Y,250,0.89,C,
MINMANCF_CL,Mini Mani Color File - Closeout,Closeouts,Y,500,0.79,C,
MINMESH_CL,Mini Mesh Bag - CLOSEOUT,Color Surge,,,0,,
MINMESH_CL,Mini Mesh Bag - CLOSEOUT,Closeouts,Y,250,0.99,C,
MINWNDFL,Mini Wand Flashlight,Best Sellers,Y,150,3.29,C,
MTYBRITE,Mighty Bright Mini Light,Best Sellers,Y,150,2.49,C,
MULMDKPR,Multimedia Keeper,Color Surge,,,0,,
MULMDKPR,Multimedia Keeper,Best Sellers,Y,150,1.45,C,
MULTTASK,Multitasker,Exclusives,,,0,,
MULTTASK,Multitasker,Color Surge,,,0,,
MULTTASK,Multitasker,Best Sellers,Y,150,1.99,C,
MUTRDVTL,Multi Bit Travel Driver Tool,New Products,,,0,,
NEOCLONE,Neo Can Cooler - One Sided Imprint,Color Surge,,,0,,
NEOCLONE,Neo Can Cooler - One Sided Imprint,Best Sellers,Y,250,1.19,C,
NEOCLTWO,Neo Can Cooler - Two Sided Imprint,Best Sellers,Y,250,1.39,C,
NEONBB,Neon Bargain Buy Pencil,Under  1,,,0,,
NEONBB,Neon Bargain Buy Pencil,Best Sellers,Y,1000,0.21,C,
NIKISTPN,Nikki Stylus Pen,New Products,,,0,,
NIKISTPN,Nikki Stylus Pen,Under  1,,,0,,
NOLAPN_CL,Nola Pen - Closeout,Closeouts,Y,500,0.55,C,
NORDGRIP,Nordic Grip Pen,Under  1,,,0,,
NORDGRIP_CL,Nordic Grip Pen - Closeout,Closeouts,Y,500,0.34,C,
NOVLEDFL,Novenary LED Flashlight,Best Sellers,Y,150,2.99,C,
NTROBKSK,Nitro Drawstring,Exclusives,,,0,,
NTROBKSK,Nitro Drawstring,Color Surge,,,0,,
NYLFLYER,Nylon Flyer,Always Available,,,0,,
NYLFLYER,Nylon Flyer,Under  1,,,0,,
NYLFLYER,Nylon Flyer,Best Sellers,Y,250,0.99,C,
OASISBTL,Oasis Water Bottle,New Products,,,0,,
OASISBTL,Oasis Water Bottle,Exclusives,,,0,,
OASISBTL,Oasis Water Bottle,Color Surge,,,0,,
OCEANPN_CL,Oceana Pen - Closeout,Closeouts,Y,500,0.32,C,
ORBINF,Orbit Infuser,New Products,,,0,,
ORBINF,Orbit Infuser,Exclusives,,,0,,
ORBINF,Orbit Infuser,Color Surge,,,0,,
ORBTRNL,12oz. & 16oz. Translucent Orbit Tumbler Lid,Exclusives,,,0,,
ORBTRNL,12oz. & 16oz. Translucent Orbit Tumbler Lid,Under  1,,0,0,,
OVLTROPN,Oval Letter Opener,Under  1,,,0,,
OVLTROPN,Oval Letter Opener,Color Surge,,,0,,
OVLTROPN,Oval Letter Opener,Best Sellers,Y,500,0.69,C,
OVLTROPT,Oval Letter Opener Trans,Under  1,,,0,,
OVLTROPT,Oval Letter Opener Trans,Color Surge,,,0,,
OVLTROPT,Oval Letter Opener Trans,Best Sellers,Y,500,0.69,C,
OXFRDJOT,Oxford Jotter Pad,Best Sellers,Y,150,1.99,C,
PALERMEX,Palermo Executive,Best Sellers,Y,60,9.29,C,
PANAPN_CL,Panama Pen - Closeout,Closeouts,Y,250,0.83,C,
PAPERCLP_CL,Giant Paper Clip - Closeout,Closeouts,Y,500,0.49,C,
PAPRNTOT,Paparoni Tote Bag,New Products,,,0,,
PAPRNTOT,Paparoni Tote Bag,Color Surge,,,0,,
PAPRPENC,Paper Pencil,Under  1,,,0,,
PAPRPENC,Paper Pencil,Best Sellers,Y,1000,0.22,C,
PARAPN,Paragon Pen,Under  1,,,0,,
PARAPN,Paragon Pen,Best Sellers,Y,500,0.55,C,
PARKYRG,Parisian Key Ring,Best Sellers,Y,150,1.99,C,
PARSNYPN,Parsimony Pen,Under  1,,,0,,
PEAKBKSK,Peak Backsack,Exclusives,,,0,,
PEAKBKSK,Peak Backsack,Color Surge,,,0,,
PENCASE,Leatherette Pen Case,Under  1,,,0,,
PENCIL,Pencil Shaped Stress Reliever,Best Sellers,Y,250,1.69,C,
PENPCH,Lux Pen Pouch,Under  1,,,0,,
PICNIC,Roll-Up Picnic Blanket,Color Surge,,,0,,
PICNIC,Roll-Up Picnic Blanket,Best Sellers,Y,50,10.49,C,
PIGGYBNK,Piggy Bank,Best Sellers,Y,150,2.39,C,
PIGGYBNK_CL,Piggy Bank - Closeout,Closeouts,Y,150,1.79,C,
PIGLETBK,Piglet Bank,Best Sellers,Y,150,2.29,C,
PIVTLKR_CL,Pivot Thumb Lock Key Ring - Closeout,Closeouts,Y,150,1.61,C,
PLANEWLM_CL,Planet Everywhere Bag - Closeout,Closeouts,Y,150,2.24,C,
PLAPKLAM_CL,Planet Pocket Tote Bag - Closeout,Closeouts,Y,150,2.23,C,
PLASFAN,Plastic Fan,Best Sellers,Y,250,1.09,C,
PNCFLBTL,12oz. Paws N Claws Flat Bottle,New Products,,,0,,
PNCFLBTL,12oz. Paws N Claws Flat Bottle,Exclusives,,,0,,
PNPALNBK,Pen Pal Notebook,Always Available,,,0,,
PNPALNBK,Pen Pal Notebook,Best Sellers,Y,150,1.99,C,
PNPDSGNB,Pen Pal Nexus Design Notebook,Exclusives,,,0,,
PNPXLNB,Pen Pal XL Nexus Notebook,Exclusives,,,0,,
PNPXLNB,Pen Pal XL Nexus Notebook,Best Sellers,Y,150,2.99,C,
PONZMNBG,Ponza Mini Bag,New Products,,,0,,
PONZMNBG,Ponza Mini Bag,Exclusives,,,0,,
POWBANK,Power Bank,New Products,,,0,,
POWBANK,Power Bank,Color Surge,,,0,,
PRISTMB,Prism Tumbler,New Products,,,0,,
PRISTMB,Prism Tumbler,Exclusives,,,0,,
PROPITUP,Prop it Up Media Stand,Best Sellers,Y,150,1.89,C,
PROXPNHI,Proxy Pen Highlighter,Under  1,,,0,,
PRSBKLT_CL,Presentation Book Light Laser Pointer - Closeout,Closeouts,Y,100,2.57,C,
PSHPWUSB,Posh Power USB Twin Charger,New Products,,,0,,
PULSEJR_CL,Pulse Junior - Closeout,Closeouts,Y,80,2.99,C,
QUADCANV,Quadrangle Canvas Key Ring,Best Sellers,Y,150,1.99,C,
QUADCLPN_CL,Quad Clip Pen - Closeout,Closeouts,Y,250,0.98,C,
QUASAR,Quasar Pen,Always Available,,,0,,
QUASAR,Quasar Pen,Under  1,,,0,,
QUASAR,Quasar Pen,Best Sellers,Y,250,0.65,C,
QUENBTL,Quench Water Bottle,New Products,,,0,,
QUENBTL,Quench Water Bottle,Exclusives,,,0,,
RBSUNGLS,RB Sunglasses,Best Sellers,Y,150,2.19,C,
REEFBKSK,Reef Mesh Backsack,Always Available,,,0,,
REEFBKSK,Reef Mesh Backsack,Color Surge,,,0,,
REEFBKSK,Reef Mesh Backsack,Best Sellers,Y,150,2.75,C,
REGRTOT,Non-Woven Reusable Tote,Color Surge,,,0,,
REGRTOT,Non-Woven Reusable Tote,Best Sellers,Y,150,1.89,C,
RENPENC,Renegade Mechanical Pencil,Under  1,,,0,,
RENPENC,Renegade Mechanical Pencil,Best Sellers,Y,500,0.35,C,
RESRTOTE_CL,Resort Cooler Tote - Closeout,Closeouts,Y,50,7.89,C,
RETAPE,Retract-a-Tape,Under  1,,,0,,
RETAPE,Retract-a-Tape,Color Surge,,,0,,
RETAPE,Retract-a-Tape,Best Sellers,Y,250,0.89,C,
RETRAKYR,Retractable Key Ring,Color Surge,,,0,,
RETRAKYR,Retractable Key Ring,Best Sellers,Y,150,1.39,C,
RETROHS,Retro Mobile Handset,Best Sellers,Y,24,10.99,C,
RETRVKL,Retro Rivet Key Light,Under  1,,,0,,
RETRVKL,Retro Rivet Key Light,Best Sellers,Y,250,0.99,C,
REVNBK_CL,Revive Notebook,Closeouts,Y,100,2.37,C,
REWNDHL,Rewind Highlighter,Under  1,,,0,,
RIBBON,Ribbon Shaped Stress Reliever,Under  1,,,0,,
RIBBON,Ribbon Shaped Stress Reliever,Best Sellers,Y,250,0.99,C,
RIBBON_CL,Ribbon Shaped Stress Reliever - Closeout,Closeouts,Y,250,0.94,C,
RIVALBKS,Rival Backsack,Exclusives,,,0,,
RIVALBKS,Rival Backsack,Color Surge,,,0,,
RIVALBKS,Rival Backsack,Best Sellers,Y,150,2.19,C,
RIVET,Rivet LED Key Light,Always Available,,,0,,
RIVET,Rivet LED Key Light,Under  1,,,0,,
RIVET,Rivet LED Key Light,Color Surge,,,0,,
RIVET,Rivet LED Key Light,Best Sellers,Y,250,0.95,C,
RIVIBAG,Riviera Cooler Bag,Color Surge,,,0,,
RIVIBAG_CL,Riviera Cooler Bag - Closeout,Closeouts,Y,50,5.99,C,
RLTRMBL,Bubba  24oz. Realtree Envy Tumbler,New Products,,,0,,
RLTRMBL,Bubba  24oz. Realtree Envy Tumbler,Exclusives,,,0,,
RLTRVMG,bubba  18oz. Realtree AP Travel Mug,New Products,,,0,,
RLTRVMG,bubba  18oz. Realtree AP Travel Mug,Exclusives,,,0,,
RTBADG,Retractable Badge Holder,Under  1,,,0,,
RTBADG,Retractable Badge Holder,Color Surge,,,0,,
RTBADG,Retractable Badge Holder,Best Sellers,Y,250,0.89,C,
RTRMDLNG,Retro Media Lounger,Exclusives,,,0,,
RUBMSPD,"1/8"" Rubber Backed Mousepad",Color Surge,,,0,,
RULRCLSI,Ruler Calculator,Best Sellers,Y,100,2.99,C,
SALNTOTE,Salina Island Tote,New Products,,,0,,
SALNTOTE,Salina Island Tote,Exclusives,,,0,,
SALNTOTE,Salina Island Tote,Color Surge,,,0,,
SANDBUD_CL,Sandwich Buddy - Closeout,Closeouts,Y,96,2.87,C,
SAVVYPN,Savvy Pen,Always Available,,,0,,
SAVVYPN,Savvy Pen,Under  1,,,0,,
SAVVYPN,Savvy Pen,Best Sellers,Y,500,0.68,C,
SAVVYPN,Savvy Pen,Inkredible Pens,,,0,,
SAVYHND,Savvy Hand Sanitizer,Color Surge,,,0,,
SAWYRSLV,Sawyer Tablet Sleeve,Best Sellers,Y,80,5.99,C,
SAXONPN,Saxon Pen,Best Sellers,Y,150,1.69,C,
SCENRVBR,Scent Removing Stainless Steel Bar,New Products,,,0,,
SELFCAM,iSelfie,New Products,,,0,,
SHAKITUP,18oz. Shake It Up Bottle,Exclusives,,,0,,
SHAKITUP,18oz. Shake It Up Bottle,Color Surge,,,0,,
SHARKMCL,Shark Media Cleaner,Exclusives,,,0,,
SHARKMCL,Shark Media Cleaner,Under  1,,,0,,
SHARKMCL,Shark Media Cleaner,Best Sellers,Y,250,0.99,C,
SHOEBAG,Golf Shoe Bag,Best Sellers,Y,50,6.59,C,
SHOEKT,Shoe Shine Kit,Under  1,,,0,,
SHOEKT,Shoe Shine Kit,Best Sellers,Y,250,0.69,C,
SHOPTOTE_CL,Shopper Tote - Closeout,Closeouts,Y,150,1.57,C,
SHOWTOTE,Show Tote,Color Surge,,,0,,
SHOWTOTE,Show Tote,Best Sellers,Y,250,1.59,C,
SIBLEYHI,Sibley Highlighter Pen,Under  1,,,0,,
SICWINBG,Sicily Wine Bag,New Products,,,0,,
SICWINBG,Sicily Wine Bag,Exclusives,,,0,,
SILBRACD,Debossed Silicone Bracelets,Under  1,,,0,,
SILBRACP,Silicone Bracelets,Under  1,,,0,,
SILBRACS,Silver Silicone Bracelets,Best Sellers,Y,250,1.09,C,
SILICOME,Silicone Media Pocket & Stand,New Products,,,0,,
SILILID_CL,Silipint  Lid - Closeout,Closeouts,Y,1,0.9,G,
SILIPINT,16oz. Silipint,Exclusives,,,0,,
SILIPOCK,Silicone Mobile Pocket,New Products,,,0,,
SILISHOT,1.5oz. Silishot,Exclusives,,,0,,
SILNTHI_CL,Silhouette Notebook with Highlighter Pen - Closeout,Closeouts,Y,150,1.97,C,
SILVHIGH,Silver Pen Highlighter,Always Available,,,0,,
SILVHIGH,Silver Pen Highlighter,Under  1,,,0,,
SILVHIGH,Silver Pen Highlighter,Best Sellers,Y,250,0.59,C,
SIPNSTYL,16oz. Sip N Style Stackable Tumbler,Exclusives,,,0,,
SKEPNHI_CL,Sketcher Pen Highlighter - Closeout,Closeouts,Y,250,0.59,C,
SLENDSIP,16oz. Slender Sip Tumbler,Color Surge,,,0,,
SLENDSIP,16oz. Slender Sip Tumbler,Best Sellers,Y,72,4.69,C,
SLICKCLR,Slicker Kan Cooler,Best Sellers,Y,250,1.19,C,
SLIDACLP,Slide A Clip,Under  1,,,0,,
SLIDACLP,Slide A Clip,Color Surge,,,0,,
SLIDACLP,Slide A Clip,Best Sellers,Y,250,0.99,C,
SLIDMAG,Slide Out Magnifier with Light,Color Surge,,,0,,
SLIDMAG,Slide Out Magnifier with Light,Best Sellers,Y,150,2.29,C,
SLMPKTL_CL,Slim Light Pocket Tool - Closeout,Closeouts,Y,100,2.58,C,
SMPLCKSC,Simple Cork Screw,Under  1,,,0,,
SMPLCKSC,Simple Cork Screw,Best Sellers,Y,250,0.99,C,
SNGLSCPM,Sunglasses Visor Clip,Best Sellers,Y,250,1.29,C,
SODATRIT,23oz. Soda Tritan  Bottle,Color Surge,,,0,,
SOLARPN,Solaris Stylus Pen,Always Available,,,0,,
SOLARPN,Solaris Stylus Pen,Under  1,,,0,,
SOLARPN,Solaris Stylus Pen,Best Sellers,Y,500,0.85,C,
SOLARPN,Solaris Stylus Pen,Inkredible Pens,,,0,,
SOLCHRG,Solar Charger,New Products,,,0,,
SONICKL_CL,Sonic Key Light - Closeout,Closeouts,Y,250,0.98,C,
SPHRLTOP_CL,Spherical Letter Opener - Closeout,Closeouts,Y,250,0.75,C,
SPINPWBK,Spin & Base,New Products,,,0,,
SPIRSTPN,Spiral Stylus Pen,New Products,,,0,,
SPIRSTPN,Spiral Stylus Pen,Under  1,,,0,,
SPIRTBKS_CL,Spirit Backsack - Closeout,Closeouts,Y,150,1.93,C,
SPLSTOTE,Splash Tote Bag,New Products,,,0,,
SPORTDUF_CL,Sport Duffel Bag - Closeout,Closeouts,Y,100,5.21,C,
SPRACLMC,Spray Clear Media Cleaner,Exclusives,,,0,,
SPRACLMC,Spray Clear Media Cleaner,Color Surge,,,0,,
SPRFNBTL,16oz. Super Fan Flat Bottle,Best Sellers,Y,150,2.09,C,
SPRGRBR_CL,SuperGrabber - Closeout,Closeouts,Y,250,1.09,C,
SPRINBTL,Spring Water Bottle,New Products,,,0,,
SPRINBTL,Spring Water Bottle,Exclusives,,,0,,
