itemno,productCode,productname,category,subcategory,year_new,iscloseout,Origin,ISGreen,leadtime(days),productdescription,packaging,setupCharge,productcolors,imprintmethods,primary_imprint_area,Primary_Imprint_method,Primary_imprint_location,Primary_imprint_height,Primary_imprint_width,keywords,productimageURL,ProductThumbnailURL,PriceCode,Minimum,Column_1_Max,Price1,Column_2_min,Column_2_max,Price2,Column_3_min,Column_3_max,price3,column_4_min,Column_4_max,Price4,PiecesPerBox,BoxLBS,BoxLength,BoxWidth,BoxHeight,Item_Height,Item_Width,Item_Depth,ItemWeightLbs
10617,EL117,Deltoid Power Pack (2200 mAh),Electronics,Mobile/Solar Power Packs,2015,N,China,Y,3,"USB port to plug in your device charger., Features a micro USB cable and port for charging the power stick (5-6 hour charge time)., Red LED battery charging indicator., This 2200 mAh power stick, has a Grade A battery, is the perfect shape and size for carrying around with you all day.,",Gift Box,$55.00(G),"Graphite, Blue, Red",Laser Engraving," 1/2""h x 1 3/4""w ",Laser Engraving,Bottom,0.5,1.75,Grade | has | 10617 | EL117 | Power | Pack | mAh | (2200 | Deltoid | Electronics | Mobile/Solar | Packs | 10617;EL117 | All | Size | For | with | You | Perfect | the | is | Stick | Day | Shape | Around | and | Carrying | this | 2200 | Charge | Port | Cable | a | Features | USB | Micro | hour | Charging | time) | (5-6 | In | Plug | Charger | your | to | Device | LED | Indicator | Red | Battery | Mid | available | Inventory | September | Graphite | Blue | Engraving | Laser |,http://ca.starline.com/content/image/product/pp_10617.jpg,http://ca.starline.com/content/image/product/tn_10617.jpg,4C                         ,36,71,14.39,72,143,13.94,144,249,13.49,250,499,12.59,100,5,16.93,10.04,9.65,0.875,3.875,1,0.05
10628,EL118,"Lumina Power Bank (12,000mAh)",Electronics,Mobile/Solar Power Packs,2015,N,China,Y,3,"Portable lightweight Aluminum power bank is high-capacity, shock-resistance, dust and rain-proof with an IP64 rating, Featuring four USB ports,12,000mAh Grade A li-polymer battery, 12Ó Micro USB cable with data transmission that will charge most hand held devices and a 3-Watt LED flashlight, Can switch between two 1A (low) and 2A (high) to support most mobile phones and tablets, A full charge can add up to 10 hours of additional talk/music time,",Gift Box,$55.00 (G)/location,Black,"Laser Engraving, TrueColor Direct Digital, Pad Printing","1 1/4""h x 2 1/2""w ",Pad Printing,Top,1.25,2.5,"10628 | EL118 | Power | Lumina | bank | (12,000mAh | Electronics | Mobile/Solar | Packs | 10628;EL118 | with | Aluminum | Portable | Lightweight | an | is | and | rating | Dust | shock-resistance | high-capacity | IP64 | rain-proof | li-polymer | Most | held | Flashlight | Grade | Featuring | data | devices | Four | Cable | Charge | a | Battery | That | 12Ó | a | USB | transmission | 3-Watt | USB | LED | Micro | Will | Hand | ports,12,000mAh | 1A | between | to | mobile | (low | 2A | switch | Support | tablets | Phones | Two | (high | Can | of | 10 | Full | talk/music | Additional | Time | Hours | up | Add | Black | Engraving | Laser | Pad | Printing | TrueColor | Direct | Digital |",http://ca.starline.com/content/image/product/pp_10628.jpg,http://ca.starline.com/content/image/product/tn_10628.jpg,4C                         ,6,11,61.79,12,35,59.84,36,71,57.89,72,99,53.99,20,20,15.75,7.87,7.48,2.75,7,10,1
10629,EL119,"Vigor Power Bank (9,000mAh)",Electronics,Mobile/Solar Power Packs,2015,N,China,N,3,"Can be recharged using our 12Ó Micro USB cable with data transmission, Comes with a battery capacity indicator for your convenience, Can support both 1A (low) and 2A (high) to most mobile phones and tablets, Slim lithium polymer 9000mAh Grade A battery dual-output makes it convenient to charge two hand-held devices at once,",Gift Box,$55.00 (G)/location,Black,"TrueColor Direct Digital, Laser Engraving, Pad Printing","1 1/4""h x 2 1/2""w ",Pad Printing,Top,1.25,2.5,"10629 | EL119 | Power | bank | (9,000mAh | Vigor | Electronics | Mobile/Solar | Packs | 10629;EL119 | Charge | Lithium | at | polymer | to | Once | Two | Slim | Battery | dual-output | hand-held | it | Grade | Convenient | a | devices | Makes | 9000mAh | Support | and | and | Most | (high | both | 2A | mobile | tablets | Phones | Can | (low | 1A | data | USB | transmission | Cable | Be | recharged | Our | Micro | 12Ó | with | using | Comes | your | Convenience | Capacity | Indicator | For | Black | Laser | Engraving | Pad | Printing |",http://ca.starline.com/content/image/product/pp_10629.jpg,http://ca.starline.com/content/image/product/tn_10629.jpg,4C                         ,6,11,60.19,12,35,58.29,36,71,56.39,72,99,52.59,40,26,19.09,12.4,7.87,0.625,5.375,2.875,0.65
12052,DC12,Indoor/Outdoor Thermometer,Electronics,Weather Stations,2005,N,China,N,3,"Features Clock/Alarm Mode, Brushed Stainless Steel Design with One Meter of Wire for the Outdoor Sensor, Foldout Easel with Hanging Hook, Indoor/Outdoor Minimum and Maximum Readings,",Gift Box,$55.00(G)/color,Stainless,Pad Printing,"1""h x 1""w ",Pad Printing,Bottom,1,1,Electronics | Frames/Clocks/Awards | Readings | steel | $0.50 | (G)/color/location | Easel | one | Stainless | Maximum | 12052 |  | Thermometer | Standard | (G)/unit. | Minimum | Mode | For | on | Stations | Weather | and | $50.00 | business | DC12 | Foldout | with | Printing | Meter | Sensor | Color | the | Includes | Brushed | Silkscreen | Clock/Alarm | Pad | Wire | Features | Design | location | hanging | of | Indoor/Outdoor | Hook | Outdoor |,http://ca.starline.com/content/image/product/pp_12052.jpg,http://ca.starline.com/content/image/product/tn_12052.jpg,4C                         ,36,71,15.19,72,143,14.72,144,249,14.24,250,499,13.29,100,31,13,11.5,13,5.625,0.5,1.875,0.31
12053,DC13,Wireless Weather Station,Electronics,Weather Stations,2008,N,China,N,3,"Included is 12/24 Hour Format, Indoor/Outdoor Thermometer Display (C/F), Calendar with Week and Day Display in 7 Languages, Alarm, Low Battery Indicator and Temperature Alert, View Your Outdoor Temperature From Indoors, 433 MHz Transmitter Frequency with a Range of Up To 30M/100Ft, Thermometer: Indoor measurement ranges: 0¡C (32¡F) ~ 50¡C (122¡F) (calibration time: 30 seconds), outdoor measurement ranges: -20¡C (-4¡F) ~ 50¡C (122¡F) (calibration time: 30 seconds). Temperature trend display either in¡C or¡F,",White Gift Box,$55.00(G)/color,White,Pad Printing," 1/2""h x 1 3/4""w ",Pad Printing,Bottom of Front,0.5,1.75,"Electronics | Outdoor | Convention/Desktop | 12053 | Alarm | (G)/color/location | (C/F), | trend | Seconds) | Time | Measurement | Seconds) | Indoor | 30 | Measurement | 30 | either | Time | (calibration | (-4¡F | 0¡C | in¡C | ~ | (122¡F | ~ | (calibration | ranges | -20¡C | ranges | (32¡F | (122¡F | 50¡C | 50¡C | or¡F | Stations | with | on | Color | Indoor/Outdoor | to | Format | In | Convention | Alert | and | frequency | (C/F) | alarm, | Format, | 12/24 | Transmitter | Printing | Calendar | Indoors | is | Week | Languages, | and | Battery | &amp; | Indicator | MHz | one | Thermometer | Low | Range | Pad | Station | a | Day | White | Included | your | Temperature | business | 7 | Weather | Wireless | of | one | Display | Languages | Display | from | hour | (G)/unit. | DC13 | Standard | View | Includes |  | $0.50 | up | 433 | Silkscreen | 30M/100Ft | $50.00 | location |",http://ca.starline.com/content/image/product/pp_12053.jpg,http://ca.starline.com/content/image/product/tn_12053.jpg,4C                         ,25,49,25.59,50,99,24.77,100,249,23.94,250,499,22.29,20,13,16,15,6,0.75,3,4.75,0.65
12062,DC22,5 Day WiFi Weather Station,Electronics,Weather Stations,2010,N,China,N,3,"Predicts max/min temp for 5 days, UV intensity indicator, displays in 7 languages, 12/24 format, temperature in C/F, dual alarm and snooze function, Includes USB transmitter.  , This weather station features 5 day forecast (current day and following 4 days), time, alarm and calendar function, To download updated &lt;a href=""http://www.starline.com/content/file/install-disk/dc22.zip""&gt;software&lt;/a&gt; , Keep the transmitter plugged into your computer to get current weather report updates on the wireless weather station with a radio frequency range of 30 m, Works with Windows 2000 and XP PC only (not Mac or Vista),",Gift Box,$55.00(G),Silver,Pad Printing," 1/2""h x 2""w ",Pad Printing,Below Display,0.5,2,"Electronics | to | Download | Stations | Clock | updated | href=""http://www.starline.com/content/file/install-disk/dc22.zip""&gt;software&lt;/a&gt; | href=""http://www.starline.com/content/file/install-disk/dc22.zip""&gt;software&lt;/a&gt;and | Function | DC22 | Pad | Pour | (current | Station | report | Predicts | the | current | Days | 2000 | a | In | Format | M | get | your | UV | Windows | temp | 30 |  | &lt;a | Silver | Max/min | Non | 7 | Dual | Includes | Keep | 12062 | Temperature | &amp; | or | Time | Wireless | on | following | Displays | forecast | Transmitter | Convention | Computer | Day | Alarm | Calendar | C/F | Indicator | Vista | ( | Features | Weather | into | (Not | this | the | Software | USB | and | Radio | Printing | days) | Languages | plugged | WiFi | of | Range | frequency | Intensity | 5 | 4 | updates | Only | In | Mac | 12/24 | with | Convention/Travel | PC | For | Works | 12062;DC22 | Snooze | XP | business |",http://ca.starline.com/content/image/product/pp_12062.jpg,http://ca.starline.com/content/image/product/tn_12062.jpg,4C                         ,12,24,45.79,25,49,44.34,50,99,42.89,100,249,39.99,40,20,15,9,17,7.25,3,0,0.5
12063,DC23,Remote Weather Station,Electronics,Weather Stations,2011,N,China,N,3,"The wireless weather station features 12/24 hour display, date and weekday display, continuous calendar up to 2099, one daily alarm, automatic snooze function, weather forecast using four icons: sunny, light cloud cover, cloudy and rain, , Powered by AC/DC, DC power adaptor included. Includes two AAA batteries for the sensor., Thermometer: Indoor measurement ranges: 0¡C (32¡F) ~ 50¡C (122¡F) (calibration time: 30 seconds), outdoor measurement ranges: -20¡C (-4¡F) ~ 50¡C (122¡F) (calibration time: 30 seconds). Temperature trend display either in¡C or¡F, temperature display in ¡C/¡F, indoor/outdoor thermometer, indoor/outdoor hygrometer, min/max display for air humidity and temperature, LED back light display. ,",Gift Box,$55.00(G),Black,Pad Printing," 1/2""h x 2 3/8""w ",Pad Printing,Below Display,0.5,2.375,Electronics | adapter | -20¡C | (122¡F | (122¡F | 30 | Outdoor | either | ranges | 0¡C | trend | Measurement | Time | ranges | ~ | ~ | Time | in¡C | Seconds) | Seconds) | 50¡C | or¡F | 30 | (-4¡F | 50¡C | (calibration | (32¡F | Measurement | (calibration | Indoor | 12063 | DC23 | Station | Remote | Weather | business | Stations | 12063;DC23 | the | Perfect | forecaster!! | Function | Alarm | one | Display | 12/24 | Rain | Snooze | Features | weekday | Calendar | to | Date | icons | Wireless | using | Four | automatic | Daily | Cover | Continuous | hour | up | Light | forecast | and | and | cloudy | Display | 2099 | cloud | sunny | Indoor/Outdoor | Indoor/Outdoor | min/max | Thermometer | hygrometer | back | For | Air | LED | In | Temperature | Temperature | humidity | ¡C/¡F | Adaptor | Two | Sensor | AC/DC | by | powered | Batteries | AAA | Includes | Included | DC | Power | Black | Printing | Pad | Clock |,http://ca.starline.com/content/image/product/pp_12063.jpg,http://ca.starline.com/content/image/product/tn_12063.jpg,4C                         ,12,24,47.79,25,49,46.27,50,99,44.74,100,249,41.69,20,21,13,10,16,7,3.5,4,1.05
12064,DC24,Crystal Weather Station w/Projection Clock,Electronics,Weather Stations,2012,N,China,N,3,"The wireless weather station features 12/24 hour display, date and weekday display, automatic snooze function., Temperature ranges between -20¡C (-4¡F) and 50¡C (122¡F)., Temperature display in ¡C/¡F, indoor/outdoor thermometer, indoor/outdoor hygrometer and adjustable projector to display the time on any wall or ceiling., Powered by AC/DC, DC power adaptor included. , 4 weather icons laser engraved in 3D inside the crystal block (sun- red light, sun with cloud Ð green Light, cloud Ð white light and rain - blue), Includes two AAA batteries for the sensor.,",Branded Gift Box,$55.00(G),Black,Pad Printing," 3/8""h x 2""w ",Pad Printing,Below Display,0.375,2,Electronics | adapter | Two | 12064 | DC24 | Crystal | Clock | Station | Weather | w/Projection | business | Stations | 12064;DC24 | Function | the | hour | Display | automatic | Snooze | and | 12/24 | weekday | Wireless | Date | Features | Display | In | Light | Laser | Light | cloud | Blue | White | - | Ð | with | icons | Engraved | Sun | inside | Green | cloud | Block | 4 | Red | Light | Rain | Ð | 3D | (sun- | on | ¡C/¡F | to | Thermometer | Any | Indoor/Outdoor | wall | or | Indoor/Outdoor | hygrometer | Time | Adjustable | Temperature | ceiling | projector | Adaptor | AC/DC | Power | by | DC | powered | Included | Includes | Three | For | AAA | Batteries | Sensor | between | (-4¡F | ranges | -20¡C | 50¡C | (122¡F) | Black | Silkscreen | Pad | Printing |,http://ca.starline.com/content/image/product/pp_12064.jpg,http://ca.starline.com/content/image/product/tn_12064.jpg,4C                         ,6,11,58.29,12,35,56.44,36,71,54.59,72,99,50.89,6,13,12,9,13,4.375,6.375,1.5,2.166666667
12065,DC25,Crystal Weather Station,Electronics,Weather Stations,2012,N,China,N,3,"Includes two AAA batteries for the sensor., Featuring 12/24 hour display, date and weekday display, automatic snooze function., Temperature ranges between -20¡C (-4¡F) and 50¡C (122¡F)., 4 weather icons laser engraved in 3D inside the crystal block (sun- red light, sun with cloud Ð green Light, cloud Ð white light and rain Ð blue light), Powered by AC/DC, DC power adaptor included., Temperature display in ¡C/¡F, indoor/outdoor thermometer and indoor/outdoor hygrometer. ,",Branded Gift Box,$55.00(G),Black,Pad Printing," 7/8""h x 1 1/2""w ",Pad Printing,Below Display,0.875,1.5,Electronics | adapter | Two | 12065 | DC25 | Station | Crystal | Weather | business | Stations | 12065;DC25 | and | Date | 12/24 | automatic | Snooze | hour | Display | weekday | Display | Featuring | Function | 3D | Light | the | In | Red | White | Blue | cloud | cloud | Ð | 4 | Green | Light | Light | Laser | icons | Block | Ð | with | Light | Rain | Sun | (sun- | inside | Engraved | Ð | Thermometer | Indoor/Outdoor | Indoor/Outdoor | hygrometer | Temperature | ¡C/¡F | powered | Power | DC | Included | Adaptor | AC/DC | by | Sensor | AAA | Batteries | Three | For | Includes | -20¡C | ranges | between | (122¡F) | 50¡C | (-4¡F | Black | Printing | Pad |,http://ca.starline.com/content/image/product/pp_12065.jpg,http://ca.starline.com/content/image/product/tn_12065.jpg,4C                         ,6,11,75.79,12,35,73.47,36,71,71.14,72,99,66.49,6,16,13,13,12,7.5,4.375,1.5,2.666666667
12066,DC26,Weather Station w/Projection Clock,Electronics,Weather Stations,2013,N,China,N,3,"The wireless weather station features 12/24hr display, date and weekday display,, indoor/outdoor hygrometer and adjustable projector to display the time on any wall or ceiling. , Powered by AC/DC Ð DC power adapter included., automatic snooze function, temperature display in ¡C/¡ F, indoor/outdoor thermometer,, Temperature ranges between -20¡C (-4¡F) and 50¡C (122¡F). , Includes 2AAA batteries for sensor.,",Gift Box,$55.00(G),Black,Pad Printing," 1/2""h x 1 1/4""w ",Pad Printing,Below Display,0.5,1.25,Electronics | Adaptor | 2AAA | 12066 | DC26 | Weather | Clock | Station | w/Projection | business | Stations | 12066;DC26 | Display | weekday | Date | Wireless | the | Features | and | Display | 12/24hr | Thermometer | Temperature | Snooze | In | Function | automatic | F | Indoor/Outdoor | ¡C/¡ | ceiling | Adjustable | wall | projector | Any | to | Time | on | or | hygrometer | AC/DC | adapter | DC | powered | Ð | by | Included | Power | (122¡F) | -20¡C | ranges | between | (-4¡F | 50¡C | Includes | Batteries | Sensor | For | 3AAA | Black | Printing | Pad |,http://ca.starline.com/content/image/product/pp_12066.jpg,http://ca.starline.com/content/image/product/tn_12066.jpg,4C                         ,6,11,55.29,12,35,53.54,36,71,51.79,72,99,48.29,24,27,16,14.4,15.4,6.125,4.25,1.875,1.125
12068,DC28,Meteor Indoor/Outdoor Thermometer,Electronics,Weather Stations,2014,N,China,N,3,"Includes four AAA batteries for the sensor and base, Temperature ranges between -20¡C (-4¡F) and 50¡C (122¡F)., Includes 12/24hr format, indoor/outdoor thermometer display in ¡C/¡F which is lit up on an LCD screen., 433.92mhz transmitter frequency with a range of up to 60m/200ft. ,",Gift Box,$55.00(G),Black,Pad Printing," 1/4""h x 1 5/8""w ",Pad Printing,Top Above Display,0.25,1.625,(122¡F) | 50¡C | 12068 | DC28 | Thermometer | Indoor/Outdoor | Meteor | Electronics | Weather | Stations | 12068;DC28 | of | a | Transmitter | Range | up | with | frequency | to | 433.92mhz | 60m/200ft | on | Includes | Which | Screen | is | 12/24hr | LCD | an | ¡C/¡F | Format | Display | In | lit | Four | AAA | Sensor | Batteries | Base | and | the | For | ranges | between | -20¡C | (-4¡F | Temperature | 60¡C | (140¡F) | Black | Pad | Printing | Station |,http://ca.starline.com/content/image/product/pp_12068.jpg,http://ca.starline.com/content/image/product/tn_12068.jpg,4C                         ,24,47,22.89,48,95,22.17,96,243,21.44,244,499,19.99,20,8,13,7,9,3.5,2.375,0.875,0.4
12069,DC29,Atlas Weather Station w/Ice Alert,Electronics,Weather Stations,2014,N,China,N,3,"large LCD display for easy reading from a distance., Alkaline batteries are recommended for colder temperature use. , Includes four AAA batteries for the sensor and base., Temperature ranges between -40¡C (-40¡F) and 60¡C (140¡F)., Memory for minimum and maximum recorded data, such as temperature highs and lows., Other functions include ice alert and low battery indicator for both the main unit and wireless remote. , Features indoor/outdoor thermometer display in ¡C/¡F, wireless sensor that can transmit temperature and humidity data up to 60-m/200 ft.,",Gift Box,$55.00(G),White,"TrueColor Direct Digital, Pad Printing"," 3/8""h x 2 3/4""w ",Pad Printing,Top Above Display,0.375,2.75,Digital | Direct | TrueColor | 12069 | DC29 | Weather | Alert | Station | Atlas | w/Ice | Electronics | Stations | 12069;DC29 | Distance | a | Easy | large | Display | LCD | Reading | from | For | ft | Thermometer | to | data | That | Temperature | ¡C/¡F | and | Indoor/Outdoor | humidity | In | up | Sensor | transmit | Can | Features | Wireless | 60-m/200 | as | Memory | Maximum | such | Minimum | recorded | lows | highs | Remote | Unit | Indicator | Other | Include | Main | ice | Functions | Low | both | the | Battery | Includes | Base | Batteries | AAA | Four | Alkaline | are | Use | Recommended | colder | between | (140¡F) | 60¡C | ranges | -40¡C | (-40¡F | White | Printing | Pad |,http://ca.starline.com/content/image/product/pp_12069.jpg,http://ca.starline.com/content/image/product/tn_12069.jpg,4C                         ,18,35,29.79,36,71,28.84,72,143,27.89,144,249,25.99,20,10,11,10.24,10.63,4.375,3.75,0.625,0.5
12070,DC30,Helius Weather Station w/RC Clock,Electronics,Weather Stations,2014,N,China,N,3,"Includes 12/24 hour display, date and weekday display, continuous calendar up to 2099, radio controlled clock or manual time settings two daily alarms and automatic snooze function, Includes four AAA batteries for the sensor and base., LED back light display, and has a transmission range up to 50 m/150 ft, Features temperature display in ¡C/¡F, indoor/outdoor thermometer, indoor hygrometer, min/max display for indoor/outdoor temperature., Temperature ranges between -20¡C (-4¡F) and 50¡C (122¡F).,",Gift Box,$55.00(G),Black,Pad Printing," 5/8""h x 1 1/2""w ",Pad Printing,Below Display,0.625,1.5,Indoor | (122¡F) | 50¡C | 12070 | DC30 | Station | Weather | Clock | Helius | w/RC | Electronics | Stations | 12070;DC30 | Range | 50 | has | to | LED | back | up | ft | a | Light | transmission | Display | and | m/150 | hygrometer | Thermometer | Features | Temperature | ¡C/¡F | Indoor/Outdoor | Temperature | Indoor/Outdoor | In | For | Indoor/Outdoor | min/max | Function | weekday | Two | hour | 2099 | Settings | Continuous | Date | Includes | 12/24 | Daily | Snooze | Radio | Manual | automatic | or | Time | alarms | Controlled | Calendar | Batteries | Base | the | Sensor | Four | AAA | -20¡C | 60¡C | between | ranges | (-4¡F | (140¡F) | Black | Printing | Pad | Wireless |,http://ca.starline.com/content/image/product/pp_12070.jpg,http://ca.starline.com/content/image/product/tn_12070.jpg,4C                         ,12,24,35.99,25,49,34.84,50,99,33.69,100,249,31.39,20,10,12.6,11.02,11.02,4.75,4.625,1,0.5
12071,DC31,Zephyr Weather Station ,Electronics,Weather Stations,2014,N,China,N,3,"Displays all the weather conditions, indoor/outdoor temperatures, indoor/outdoor humidity display, 12/24 hour display, date and weekday display, two daily alarms and an automatic snooze function., Alkaline batteries are recommended for colder temperature use. , Transmission range up to 60 m/200 ft., Features min/max display for indoor/outdoor temperature and humidity, back light display and indoor humidity comfort level indicator., Powered by AC/DC, DC power adaptor included., Temperature ranges between -40¡C (-40¡F) and 60¡C (140¡F)., Includes two AAA batteries for the sensor.,",Gift Box,$55.00(G),White,Pad Printing," 5/8""h x 3""w ",Pad Printing,Top Above Display,0.625,3,12071 | DC31 | Station | Weather | Zephyr | Electronics | Stations | 12071;DC31 | Display | an | Function | humidity | hour | 12/24 | automatic | All | Display | Snooze | Two | and | Date | Indoor/Outdoor | Daily | Displays | Conditions | Display | the | weekday | Temperatures | Indoor/Outdoor | and | alarms | min/max | For | Indoor | Indicator | back | Features | Light | Temperature | Level | Comfort | ft | Range | transmission | to | up | 60 | m/200 | AC/DC | by | Power | DC | powered | Adaptor | Included | AAA | Sensor | Batteries | Includes | colder | Recommended | are | Alkaline | Use | (140¡F) | ranges | -40¡C | between | 60¡C | (-40¡F | White | Pad | Printing | Wireless |,http://ca.starline.com/content/image/product/pp_12071.jpg,http://ca.starline.com/content/image/product/tn_12071.jpg,4C                         ,6,11,61.79,12,35,59.84,36,71,57.89,72,99,53.99,20,20,18.5,12.6,15.35,5.5,6.875,3.25,1
12072,DC32,Elements Weather Station with Clock,Electronics,Weather Stations,2015,N,China,N,3,"Powered by AC/DC, DC power adaptor included, Displays all the weather conditions, indoor/outdoor temperatures, indoor humidity display, 12/24 hour display, date and weekday display, daily alarms and automatic snooze function, Also includes two AAA batteries for the sensor, Includes weekday display in seven different languages, colorful display with LED back light and a continuous calendar up to 2099, Temperature ranges between -20¡C (-4¡F) and 60¡C (140¡F).,",Gift Box,$55.00(G),White,Pad Printing," 5/8""h x 1 3/8""w ",Pad Printing,Below Display,0.625,1.375,12072 | DC32 | Weather | with | Clock | Station | Elements | Electronics | Stations | 12072;DC32 | Displays | Display | Date | Display | Indoor/Outdoor | the | Display | All | alarms | humidity | Snooze | Conditions | Indoor | Function | weekday | Temperatures | and | and | 12/24 | Daily | hour | automatic | to | 2099 | Includes | Languages | a | Colorful | seven | Calendar | Light | Continuous | up | Different | In | LED | back | DC | AC/DC | powered | by | Included | Adaptor | Power | Sensor | Also | Two | AAA | Batteries | For | -20¡C | 60¡C | (140¡F) | (-4¡F | between | ranges | Temperature | White | Printing | Pad |,http://ca.starline.com/content/image/product/pp_12072.jpg,http://ca.starline.com/content/image/product/tn_12072.jpg,4C                         ,9,17,41.29,18,35,39.97,36,71,38.64,72,143,35.99,20,10,19.49,11.02,11.42,4.75,4.75,1,0.5
12208,DF08,"Insignia 7"" Digital Frame",Electronics,Digital/Audio,2009,N,China,N,3,"Comes with versatile stand and keyholes for wall mounting., Also supports SD/MMC/USB memory cards to view more photos., Display 15 photos on this basic high gloss design, a perfect compliment to any room., Supports rotation of photos with a high resolution of 480 x 234 pixels and  automatic slide show function.,",Gift Box,$55.00(G),Black,Silkscreen," 5/8""h x 5 1/2""w ",Silkscreen,Bottom of Frame,0.625,5.5,"Frames/Clocks/Awards | Electronics | Additional | More | Also | Function | 15 | For | Color | Digital | Secondary | x | an | Photo | on | Display | location. | Frame | simply | from | rotation | $50.00 | keyholes | gloss | 7 | View | Perfect | (G) | Slide | Any | one | function. | mounting | Comes | host | videos | Basic | memory: | Insignia | Memory | room. | Resolution | Pictures | digital/audio | Pour |  | Charge | Base | at | with | 7"" | of | Room | Imprint | Stand | 480 | means | directly | DF08 | compliment | a | Show | to | Includes | 12208 | available | mounting. | Silkscreen | Versatile | this | of | just | design, | No | automatic | photos | High | pixels | Supports | location | cards | SD/MMC/USB | business | Black | one | Ultra | Support | Standard | cards. | the | Design | and | 234 | Which | wall |",http://ca.starline.com/content/image/product/pp_12208.jpg,http://ca.starline.com/content/image/product/tn_12208.jpg,4C                         ,6,11,101.79,12,35,98.84,36,71,95.89,72,99,89.99,10,18,25,14,10,6.375,9,1.375,1.8
12607,DC27,Trending Indoor/Outdoor Thermometer,Electronics,Weather Stations,2014,N,China,N,3,"Compare the temperature currently with the last recorded., Includes a wired outdoor sensor and two AAA batteries for base., An up/down arrow will appear to indicate temperature change, Temperature ranges between -20¡C (-4¡F) and 50¡C (122¡F)., Will scan and display the current temperature every 30 seconds., Features 12/24 hour display, indoor and outdoor temperature display in ¡C/¡F, Hi/Low Temperature in ¡C/¡F values, and ice warning.,",Gift Box,$55.00(G),Black,"Pad Printing, TrueColor Direct Digital"," 3/4""h x 2 3/4""w ",Pad Printing,Below Display,0.75,2.75,50¡C | -20¡C | (-4¡F | (122¡F) | Station | 12607 | DC27 | Indoor/Outdoor | Thermometer | Trending | Electronics | Stations | Weather | 12607;DC27 | recorded | the | Last | Currently | with | the | Temperature | Compare | Display | In | Display | ¡C/¡F | Warning | hour | ¡C/¡F | Outdoor | and | and | Indoor | 12/24 | In | Features | Hi/Low | ice | values | every | current | Scan | 30 | Seconds | Will | to | Up/Down | change | an | appear | indicate | arrow | For | Wired | Includes | Base | Two | Sensor | Batteries | a | AAA | -40¡C | between | ranges | (-40¡F | (158¡F) | 70¡C | Black | Pad | Printing |,http://ca.starline.com/content/image/product/pp_12607.jpg,http://ca.starline.com/content/image/product/tn_12607.jpg,4C                         ,24,47,18.79,48,95,18.19,96,243,17.59,244,499,16.39,50,17,21.85,10.24,10.63,4.375,3.75,0.625,0.34
12702,GFT02,"Tri-Fold Golf Towel (16"" x 22"")",Lifestyles and Golf,Golf,2011,N,China,N,3,"The tri-fold golf towel makes a great gift for the avid golfer. , Comes with a metal grommet and metal bag clip to attach easily to any golfer's bag. , This towel is 100% cotton. ,",Polybag,$55.00(G),"Green, Red, Navy Blue, Black",,,,,0,0,"12702 | GFT02 | Golf | Towel | Tri-Fold | Lifestyles | 12702;GFT02 | 100 | is | this | Cotton | Great | Makes | the | the | Gift | a | For | golfer | avid | to | Any | metal | Easily | Comes | with | metal | and | clip | attach | to | Bag | Bag | golfer's | grommet | May | available | Inventory | Late | Green | Red | Navy | Blue | Black | x | 22"" | (16 |",http://ca.starline.com/content/image/product/pp_12702.jpg,http://ca.starline.com/content/image/product/tn_12702.jpg,2ABC                       ,50,99,11.29,100,249,10.95,250,499,9.65,500,999,8.29,100,33,23,13,21,22,16,0,0.33
12801,UM01,"48"" Umbrella",Lifestyles and Golf,Golf,2011,N,China,N,3,"Constructed of polyester this 48Ó umbrella features a metal shaft and ribs, wood handle., Auto-open function, Protect yourself from natures elements with elegant 8-panel umbrella. ,",Polysleeve,$55.00(G)/color/GeoPanel (GeoPanel: one time set-up),"Blue/Black, Black, Tan, Blue","Multi-Color Transfer, Silkscreen, Geo-Panel","3""h x 6""w ",Silkscreen,Umbrella Panel 1,3,6,Umbrellas | 12801 | UM01 | 48 | Umbrella | Lifestyles | Golf | 12801;UM01 | Function | Auto-open | of | a | Handle | constructed | Polyester | and | this | Features | metal | Wood | 48Ó | ribs | shaft | Elegant | with | Elements | from | protect | 8-panel | yourself | natures | Late | May | available | Inventory | Blue/Black | Red | Black | Beige | Blue | Silkscreen | Geo-Panel | transfer | Multi-Color | Tan |,http://ca.starline.com/content/image/product/pp_12801.jpg,http://ca.starline.com/content/image/product/tn_12801.jpg,4C                         ,36,71,15.69,72,143,15.19,144,249,14.69,250,499,13.69,60,50,35,9,14,33.25,1,0,0.833333333
